上海海万信息科技股份有限公司,3945445,Python 数据分析,大专,3-5年,13k-25k,深圳,500-2000人,不需要融资,"最先进的技,大项目,交通便利,环境好",2019/5/16
久爱致和（北京）科技有限公司,4143575,数据分析员,本科,1-3年,6k-10k,北京,150-500人,上市公司,发展前景好,1天前发布
杭州睿拓智能科技有限公司,5335113,数据分析师,本科,1-3年,11k-16k,上海,50-150人,A轮,AI 美国公司,1天前发布
深圳微融信息科技有限公司,5748069,数据分析师,本科,1-3年,9k-15k,深圳,50-150人,不需要融资,高薪 灵活 轻松,1天前发布
北京悠贝成长科技有限公司,5945751,数据分析,本科,3-5年,12k-24k,北京,50-150人,不需要融资,晋升空间大，培训完善，公司逗比多,1天前发布
深圳乐信软件技术有限公司,5827915,数据分析师 （桔子理财） (MJ000539),本科,不限,15k-30k,深圳,2000人以上,上市公司,上市公司 五险一金 发展空间 团队激励,1天前发布
百融云创科技股份有限公司,5002454,数据分析师,本科,应届毕业生,10k-20k,北京,500-2000人,C轮,"福利好,环境好,扁平化,领导是大牛",1天前发布
杭州观数信息科技有限公司,5355366,数据分析师,本科,1-3年,15k-30k,深圳,50-150人,A轮,牛人团队 成长空间 期权激励 独当一面,1天前发布
北京印象笔记科技有限公司,5831968,数据分析师,本科,1-3年,10k-15k,北京,50-150人,A轮,"本地化,产品基调好,团队年轻,作战实力强",1天前发布
上海花千树信息科技有限公司北京分公司,5482652,数据分析,本科,1-3年,8k-15k,北京,500-2000人,上市公司,"成熟团队,上升空间",1天前发布
上海旖美信息技术有限公司,5900608,数据分析师,本科,3-5年,10k-15k,上海,150-500人,A轮,升职加薪，指日可待,1天前发布
深圳市立创电子商务有限公司,5389270,数据分析师（用户方向）,本科,3-5年,15k-20k,深圳,150-500人,A轮,周末双休，五险一金，下午茶，工作氛围好,1天前发布
深圳市一面网络技术有限公司,5523109,数据分析师（汽车行业）,本科,不限,8k-15k,深圳,50-150人,A轮,大数据人工智能；名校系大牛；技术氛围浓,1天前发布
上海微盟企业发展有限公司,4384123,数据分析师（新零售）,本科,1-3年,8k-10k,上海,2000人以上,上市公司,"发展速度快,晋升空间大,团队给力",1天前发布
北京世纪好未来教育科技有限公司,5753844,数据分析师,本科,5-10年,20k-40k,北京,2000人以上,上市公司,上市公司,1天前发布
传神语联网网络科技股份有限公司,5915035,数据分析,本科,1年以下,4k-5k,武汉,500-2000人,上市公司,老板好 工作氛围佳 发展空间高,1天前发布
深圳市新国都股份有限公司,5919324,数据分析（风控方向）,本科,1-3年,7k-12k,深圳,2000人以上,上市公司,发展前景好，福利待遇好，晋升空间,1天前发布
北京万维之道信息技术有限公司,4858411,数据分析师,本科,1-3年,10k-20k,北京,150-500人,A轮,"六险一金,前景好,管理扁平",1天前发布
上海联元智能科技有限公司,5897831,数据分析师,本科,3-5年,15k-30k,上海,50-150人,A轮,五险一金 绩效奖金 弹性工作 补充公积金,1天前发布
上海宏路数据技术股份有限公司,5165983,数据分析师,本科,1-3年,8k-16k,上海,50-150人,上市公司,"六险一金,定期体检,员工旅游,地铁周边",1天前发布
深圳来电科技有限公司,5954567,数据分析师,本科,3-5年,14k-20k,深圳,500-2000人,A轮,"行业独角兽,全员期权,发展空间大",1天前发布
深圳市立创电子商务有限公司,5524909,数据分析师（商品方向）,本科,3-5年,15k-20k,深圳,150-500人,A轮,"五险一金,周末双休,水果下午茶,",1天前发布
深圳市一面网络技术有限公司,5523125,数据分析师（数据科学方向）,本科,1-3年,10k-20k,深圳,50-150人,A轮,大数据人工智能；名校系大牛；技术氛围浓,1天前发布
久爱致和（北京）科技有限公司,5589683,数据分析员,本科,1年以下,5k-7k,北京,150-500人,上市公司,"上市公司,六险一金,年度旅游,年度体检",1天前发布
广东省电信规划设计院有限公司,5296734,数据分析师,本科,1-3年,6k-9k,广州,2000人以上,上市公司,"博士带队,博士导师,5天7小时,氛围好",1天前发布
北京刷刷看网络科技有限公司,5779714,数据分析,本科,3-5年,14k-25k,北京,50-150人,A轮,五险一金 发展空间大,1天前发布
北京自如友家资产管理有限公司,5869894,数据分析师,本科,1-3年,8k-15k,北京,2000人以上,A轮,租房优惠 六险一金 绩效奖金 免费体检,1天前发布
杭州智屏电子商务有限公司,5288845,数据分析,本科,3-5年,10k-20k,杭州,50-150人,不需要融资,六险一金 带薪年假,1天前发布
上海驰骛信息科技有限公司,5690955,数据分析师（数据运营）,本科,3-5年,10k-20k,上海,50-150人,A轮,五险一金补充商保免费零食免费晚餐年度体检,1天前发布
思凯思特（北京）科技有限公司,5760257,数据分析师,本科,1-3年,15k-25k,北京,150-500人,上市公司,"六险一金,带薪假期,工作居住证,外资团队",1天前发布
北京希为科技有限公司,5906062,数据分析师（ETL方向）,本科,1-3年,10k-15k,深圳,50-150人,不需要融资,"发展空间,各种福利",1天前发布
武汉悦然心动网络科技有限公司,5648547,数据分析师,不限,不限,10k-20k,武汉,150-500人,上市公司,带薪出国游；千万级用户,1天前发布
北京美至网络科技有限公司,4328277,数据分析师,本科,1-3年,15k-20k,上海,50-150人,A轮,"团队氛围好,挑战与学习,办公环境好",1天前发布
北京三快在线科技有限公司,5863062,数据分析师,本科,5-10年,30k-40k,北京,2000人以上,上市公司,知名互联网平台,1天前发布
上海二三四五网络科技有限公司,5811856,数据分析师（信息流）(J11843),本科,3-5年,10k-18k,上海,500-2000人,上市公司,上市公司，团队氛围好，福利好，业务多元化,1天前发布
珠海市魅族科技有限公司,5822637,数据分析师,本科,1-3年,10k-15k,深圳,2000人以上,A轮,发展平台大 工作氛围佳,1天前发布
深圳市立创电子商务有限公司,5524923,数据分析师（用户）,不限,不限,6k-10k,深圳,150-500人,A轮,"五险一金,周末双休,水果下午茶,",1天前发布
深圳市一面网络技术有限公司,5523143,数据分析师(商业方向，中高级）,本科,1-3年,10k-20k,深圳,50-150人,A轮,大数据人工智能；名校系大牛；技术氛围浓,1天前发布
上海驰骛信息科技有限公司,5943184,数据分析师,本科,3-5年,15k-30k,上海,50-150人,A轮,年度体检免费晚餐额外商保带薪10天年假,1天前发布
思凯思特（北京）科技有限公司,5134571,数据分析师,本科,1-3年,10k-20k,上海,150-500人,上市公司,"六险一金,带薪休假,弹性工作,扁平管理",1天前发布
上海二三四五网络科技有限公司,5550881,数据分析师（汽车金融）,本科,1-3年,8k-15k,上海,500-2000人,上市公司,上市公司背景，技术驱动等,1天前发布
上海维信荟智金融科技有限公司,5800754,数据分析师（风险分析）,本科,1-3年,13k-16k,上海,2000人以上,上市公司,"团队优秀,发展平台好",1天前发布
上海星融汽车科技有限公司,5362409,数据分析师,大专,1-3年,10k-20k,上海,150-500人,A轮,人工智能 技术前沿 氛围热情 待遇优厚,1天前发布
广东赢商网数据服务股份有限公司,4584644,数据分析（实习）,本科,不限,3k-4k,广州,150-500人,上市公司,周末双休,1天前发布
上海画龙信息科技有限公司,5020913,数据分析师,本科,3-5年,10k-20k,上海,50-150人,A轮,"硅谷团队,发15m,晋升平台,带薪假期",1天前发布
同程网络科技股份有限公司,5804426,数据分析,本科,3-5年,20k-30k,苏州,2000人以上,上市公司,薪资福利好，发展平台大,1天前发布
完美世界（北京）软件科技发展有限公司,5644738,数据分析,本科,3-5年,15k-30k,上海,2000人以上,上市公司,项目稳定 福利待遇好,1天前发布
北京超盟数据科技有限公司,5856410,数据分析师,本科,3-5年,20k-30k,北京,50-150人,A轮,六险一金，周末双休，弹性考勤，发展空间大,1天前发布
北京天工矩阵信息技术有限公司,5945321,数据分析,本科,3-5年,10k-18k,北京,50-150人,A轮,"成长空间,五险一金,丰厚奖金,带薪年假",1天前发布
联想（北京）有限公司,5781958,数据分析师（供应链）,本科,5-10年,20k-30k,北京,2000人以上,上市公司,"弹性工作,商业保险",1天前发布
北京寄云鼎城科技有限公司,5894647,数据分析师,本科,1-3年,10k-20k,北京,50-150人,A轮,"股票期权,行业前沿,五险一金,定期体检",1天前发布
深圳市一面网络技术有限公司,5523119,数据分析师（数据资产方向）,本科,1-3年,10k-20k,深圳,50-150人,A轮,大数据人工智能；名校系大牛；技术氛围浓,1天前发布
上海驰骛信息科技有限公司,5943522,数据分析师,本科,3-5年,15k-30k,上海,50-150人,A轮,年度体检免费晚餐补充商保10天带薪年假,1天前发布
上海维信荟智金融科技有限公司,5510899,数据分析师（产品运营）,本科,1-3年,13k-18k,上海,2000人以上,上市公司,平台大 办公环境好 同事nice,1天前发布
飞友科技有限公司,5677709,（民航）数据分析师,硕士,3-5年,10k-20k,上海,150-500人,A轮,"六险一金,周末双休,年终奖金,境外旅游",1天前发布
申通快递有限公司,4315150,数据分析师,大专,不限,5k-10k,上海,2000人以上,上市公司,"数据分析,需求分析",1天前发布
上海懒人易健科技有限公司,5173528,数据分析师,本科,3-5年,15k-27k,深圳,50-150人,不需要融资,"独立自主,海量数据,节奏快,创新驱动",1天前发布
和信电子商务有限公司,5652389,数据分析师,本科,3-5年,15k-25k,北京,150-500人,上市公司,五险一金 地铁周边 周末双休 带薪年假,1天前发布
北京三快在线科技有限公司,5823315,数据分析（业务策略）,本科,3-5年,10k-20k,北京,2000人以上,上市公司,平台大,1天前发布
上海盛惜投资管理有限公司,5905232,数据分析师,本科,3-5年,20k-35k,上海,50-150人,不需要融资,优秀团队 做五休二 五险一金 节日福利,1天前发布
厦门点触科技股份有限公司,5951660,数据分析师,本科,3-5年,10k-20k,厦门,150-500人,上市公司,免费班车 免费早餐 免费体检 五险一金,1天前发布
深圳市银之杰科技股份有限公司,5948004,数据分析师,本科,3-5年,10k-20k,深圳,150-500人,上市公司,福利,1天前发布
深圳市对庄科技有限公司,5040265,数据分析师,本科,3-5年,10k-15k,广州,15-50人,A轮,"发展空间大,给力小伙伴,经验值UP",1天前发布
睿智合创（北京）科技有限公司,5730073,数据分析师,本科,3-5年,18k-35k,北京,50-150人,A轮,7险一金 地铁附近 平台优质,1天前发布
绿漫科技有限公司,4414826,数据分析师,本科,3-5年,14k-24k,杭州,50-150人,不需要融资,"13薪,行业领先,产品经理,多产品线",1天前发布
北京有大家科技有限公司,5937472,数据分析师,本科,1-3年,6k-12k,北京,15-50人,天使轮,扁平管理，氛围活跃，大牛带队，六险一金,1天前发布
飞友科技有限公司,4735530,数据分析（南京）,本科,1-3年,10k-15k,南京,150-500人,A轮,"弹性工作,氛围轻松",1天前发布
北京三快在线科技有限公司,5823065,数据分析（业务策略）,本科,3-5年,20k-30k,北京,2000人以上,上市公司,平台大,1天前发布
上海艾天科技有限公司,5151976,数据分析师,不限,3-5年,10k-20k,上海,15-50人,不需要融资,"平台好,环境好,氛围好,机会多",1天前发布
海南新浪爱问普惠科技有限公司,5728286,数据分析,本科,3-5年,15k-20k,深圳,500-2000人,未融资,高额年终奖 体检 旅游 团建,1天前发布
优品财富管理有限公司,5879346,数据分析师,大专,3-5年,7k-12k,武汉,500-2000人,未融资,大牛云集,1天前发布
成都三泰控股集团股份有限公司福州分公司,5859533,数据分析员（台江）,大专,不限,3k-4k,福州,50-150人,未融资,五险一金、节日福利、法定节假日,1天前发布
上海番糖网络科技有限公司,5295411,数据分析师,本科,1-3年,8k-16k,上海,50-150人,未融资,"年底双薪,员工旅游,员工体检,餐补车补",1天前发布
北京博雅大智慧科技有限公司,3536483,数据分析师,硕士,不限,10k-20k,北京,50-150人,未融资,深耕于北大，打造在线数据科学家培养平台,1天前发布
深圳市大疆创新科技有限公司,5906310,数据分析师,本科,3-5年,12k-20k,深圳,2000人以上,未融资,发展空间 公司平台,1天前发布
湖北长江云新媒体集团有限公司,5698644,数据分析师,本科,1-3年,4k-7k,武汉,150-500人,未融资,五险一金，饭补，交通费，周末双休,1天前发布
广府数字（深圳）股份有限公司,5533158,数据分析师（BI运营）,大专,1-3年,6k-10k,广州,15-50人,未融资,"股票期权,高福利,公司核心骨,报酬丰厚",1天前发布
上海奕己信息科技有限公司,5900147,数据分析师,大专,1-3年,8k-16k,上海,15-50人,未融资,"绩效奖金,弹性工作,年终奖金,期权激励",1天前发布
杭州光云科技股份有限公司,4265476,数据分析师,本科,3-5年,15k-25k,杭州,500-2000人,不需要融资,"弹性时间,六险一金,股票期权,年度旅游",1天前发布
金宝贝网络科技（苏州）有限公司上海分公司,5942644,数据分析师,本科,1-3年,15k-25k,上海,50-150人,未融资,大牛云集 成长空间大 高效团队 创业型,1天前发布
宁波邻家网络科技有限公司,4704007,数据分析师,本科,1-3年,14k-25k,宁波,50-150人,未融资,扁平化管理、发展空间大、团队氛围好,1天前发布
海南新浪爱问普惠科技有限公司,5559632,数据分析师,本科,3-5年,15k-20k,深圳,500-2000人,未融资,高额年终奖 团建 体检 旅游,1天前发布
优品财富管理有限公司,5372143,数据分析师,大专,3-5年,6k-10k,武汉,500-2000人,未融资,大牛云集,1天前发布
四川锦程消费金融有限责任公司,5879113,数据分析,本科,1-3年,9k-15k,成都,150-500人,未融资,"持牌机构,稳定平台,职业发展,薪酬待遇",1天前发布
上海小牛互娱智能科技有限公司,5896876,数据分析师（实习）,本科,1年以下,4k-6k,上海,500-2000人,未融资,年终奖,1天前发布
深圳数位传媒科技有限公司,4210417,数据分析师,本科,5-10年,25k-50k,深圳,150-500人,B轮,"14薪起,股票期权,大牛团队,技术氛围好",1天前发布
北京达佳互联信息技术有限公司,5823253,数据分析师（业务分析）-【商业化】,本科,3-5年,20k-40k,北京,2000人以上,D轮及以上,扁平化管理,2019/5/14
武汉市追忆那年网络科技有限公司,5430691,数据分析师,本科,3-5年,15k-30k,深圳,50-150人,B轮,"SNS,薪资优渥,社交大咖",2天前发布
上海脉豪商务信息咨询有限公司,3167494,数据分析师,本科,1-3年,8k-12k,上海,150-500人,天使轮,"行业先锋,数据驱动,项目奖金,活力年轻",1天前发布
探探科技（北京）有限公司,5685002,增长数据分析师,本科,1-3年,15k-30k,北京,150-500人,D轮及以上,免费三餐、弹性工作、交通便利,1天前发布
凡普金科集团有限公司,5929577,数据分析师-增长,本科,1-3年,15k-25k,北京,2000人以上,不需要融资,发展空间大,1天前发布
中诚信征信有限公司,3403083,数据分析师（风控建模方向）,硕士,1-3年,15k-30k,北京,150-500人,不需要融资,"五险一金,免费午餐,下午茶,独立四合院",1天前发布
上海寻梦信息技术有限公司,5732360,数据分析师,本科,3-5年,15k-30k,上海,2000人以上,上市公司,"平台好,大牛多,薪资待遇佳",2019/5/14
中国平安财产保险股份有限公司,5546267,数据分析与挖掘岗,本科,3-5年,15k-25k,深圳,2000人以上,上市公司,丰厚的年终奖,00:00发布
厦门美柚信息科技有限公司,5639311,数据分析师-增长方向,本科,1-3年,15k-30k,北京,500-2000人,D轮及以上,发展空间大,1天前发布
北京趣拿软件科技有限公司,5874578,数据分析师-火车票事业部(J13782),本科,3-5年,20k-40k,北京,2000人以上,不需要融资,地铁旁、年度旅游、年终奖、绩效奖金,1天前发布
上海小牛互娱智能科技有限公司,5770125,数据分析师,本科,3-5年,15k-30k,上海,500-2000人,未融资,年终奖,1天前发布
上海寻梦信息技术有限公司,5576119,数据分析师（广告方向）,本科,3-5年,20k-40k,上海,2000人以上,上市公司,福利待遇好，团队氛围好，公司潜力佳,2019/5/14
中诚信征信有限公司,4070433,数据分析师（风控建模方向-上海）,硕士,1-3年,15k-30k,上海,150-500人,不需要融资,"行业领导者,弹性工作制,周五7小时,扁平化管理",1天前发布
百度在线网络技术（北京）有限公司,4964263,数据分析师-视频业务,本科,3-5年,12k-24k,北京,2000人以上,不需要融资,"大平台,高福利",1天前发布
凡普金科集团有限公司,5929616,数据分析师-风控,本科,1-3年,15k-25k,北京,2000人以上,不需要融资,发展空间大,1天前发布
北京趣拿软件科技有限公司,5910487,数据分析师-市场营销部(J13651),本科,3-5年,15k-25k,北京,2000人以上,不需要融资,氛围好,1天前发布
武汉佰钧成技术有限责任公司,5950550,数据分析,大专,1-3年,7k-9k,深圳,2000人以上,不需要融资,免费班车/免费早餐,3天前发布
上海欧拉网络技术有限公司,5915840,产品/数据分析师,本科,5-10年,20k-40k,北京,50-150人,C轮,"发展空间,绩效奖金,福利完善,简单开放",1天前发布
北京字节跳动科技有限公司,5327234,商业产品实习生-数据分析,本科,不限,4k-5k,北京,2000人以上,C轮,弹性工作，免费三餐，餐补，租房补贴,1天前发布
江苏艾佳家居用品有限公司,3024791,BI工程师/数据分析师,本科,3-5年,12k-24k,南京,150-500人,B轮,"BI,数据分析",1天前发布
同盾科技有限公司,5754426,数据分析师-杭州/上海-01685,不限,1-3年,10k-20k,上海,500-2000人,C轮,六险一金、双休、节日福利、旅游、免费零食,1天前发布
神策网络科技（北京）有限公司,4756488,数据分析师-北京,本科,3-5年,15k-25k,北京,150-500人,C轮,"五险一金,餐补,补充医疗,14薪",1天前发布
北京微聚未来科技有限公司,5614123,数据分析师-用户增长方向,本科,3-5年,15k-30k,北京,500-2000人,不需要融资,"牛人团队,带薪年假,16薪考核,快速成长",1天前发布
腾讯科技（深圳）有限公司,3413899,23048-数据分析师,本科,3-5年,18k-36k,北京,2000人以上,上市公司,"大平台,新领域,大咖多",1天前发布
北京车托帮网络技术有限公司,5950873,数据分析师,本科,3-5年,15k-25k,北京,50-150人,C轮,五险一金，饭补,3天前发布
上海寻梦信息技术有限公司,5292839,数据分析师,本科,不限,15k-30k,上海,2000人以上,上市公司,GMV2600亿，活跃用户3亿,2019/5/14
神策网络科技（北京）有限公司,4757404,数据分析师-深圳,本科,3-5年,15k-25k,深圳,150-500人,C轮,"五险一金,午餐补助,补充医疗,14薪",1天前发布
深圳市房多多网络科技有限公司,5940191,数据分析师,本科,1-3年,10k-20k,上海,2000人以上,C轮,团队优秀 大牛云集 发展机会多 专业平台,3天前发布
北京至上泽思信息技术有限公司,5819948,数据分析师-业务分析方向,本科,1-3年,10k-15k,上海,50-150人,未融资,"五险一金,补充医疗,节日福利,带薪年假",1天前发布
杭州观数信息科技有限公司,5683650,解决方案顾问/数据分析师,本科,3-5年,10k-20k,杭州,50-150人,A轮,牛人团队 成长空间 期权激励 独当一面,1天前发布
上海驰骛信息科技有限公司,5815943,数据分析与运营,本科,3-5年,6k-10k,上海,50-150人,A轮,员工餐 年度体检 免费零食 不打卡,1天前发布
深圳市中手游网络科技有限公司,5804803,sz-数据分析师,本科,3-5年,10k-20k,深圳,500-2000人,上市公司,平台大、福利多、牛人多,1天前发布
飞友科技有限公司,5801427,民航服务-数据分析师,本科,5-10年,9k-16k,合肥,150-500人,A轮,"年度旅游,周末双休,年度奖金,六险一金",1天前发布
杭州有盾网络科技有限公司,4527714,数据建模专家/数据分析师,本科,3-5年,15k-30k,杭州,50-150人,不需要融资,"五险一金,晋升空间,年终奖金,周末双休",1天前发布
腾讯科技（深圳）有限公司,5614359,29912-数据分析-运营开发,本科,1-3年,20k-40k,深圳,2000人以上,上市公司,平台大,1天前发布
上海腾梭科技有限公司,5754290,高级风险建模 / 数据分析师,本科,1-3年,16k-30k,深圳,150-500人,A轮,六险一金，扁平管理，快速成长，大神助力,1天前发布
西安亚购信息科技有限公司,2353221,数据分析员,大专,1-3年,4k-8k,西安,50-150人,A轮,十三薪；五险一金；出国机会；弹性工作,3天前发布
广州数说故事信息科技有限公司,4112258,数据分析师,本科,1-3年,8k-15k,广州,150-500人,B轮,"高速发展,领导好,氛围好,业务导向",1天前发布
任买科技（北京）有限公司,5939876,数据分析师DA,本科,1-3年,15k-25k,北京,2000人以上,不需要融资,详见公司福利,1天前发布
广州荔支网络技术有限公司,5746399,数据分析工程师 (MJ000239),本科,不限,15k-30k,广州,500-2000人,D轮及以上,技术大牛多 领导nice 薪酬福利好,1天前发布
上海寻梦信息技术有限公司,5498427,数据分析师（社交方向）,本科,1-3年,20k-40k,上海,2000人以上,上市公司,福利待遇、发展前景、技术大牛,2019/5/14
中和农信项目管理有限公司,5460162,数据分析工程师,本科,5-10年,13k-15k,长沙,2000人以上,不需要融资,"六险一金,带薪年假,广阔平台,工作餐",1天前发布
百度在线网络技术（北京）有限公司,5884452,数据分析工程师,本科,5-10年,30k-60k,北京,2000人以上,不需要融资,空间大、AI、智能硬件,1天前发布
广州哆啦科技有限公司,5756631,数据分析工程师,本科,3-5年,15k-30k,广州,2000人以上,C轮,期权激励 绩效奖金 扁平管理 五险一金,1天前发布
广州力挚网络科技有限公司,5081191,数据分析师工程师,本科,3-5年,8k-14k,广州,500-2000人,C轮,"五险一金,年度旅游,交通补贴,健身房",1天前发布
上海瑞阙文化发展有限公司,5552338,数据分析工程师,本科,5-10年,25k-40k,上海,150-500人,不需要融资,海外旅游 半年奖金 区块链,1天前发布
爱海企业管理咨询（上海）有限公司,5129616,数据分析工程师,本科,不限,10k-18k,上海,500-2000人,B轮,"发展好,福利好,氛围好,环境好",1天前发布
北京木瓜移动科技股份有限公司,5758190,数据分析工程师,本科,1年以下,10k-15k,北京,150-500人,B轮,团队大牛多，工作氛围好，年底双薪,1天前发布
北京高域海汇科技有限公司,5455872,数据分析工程师,本科,1-3年,15k-25k,北京,150-500人,不需要融资,"核心业务,上升空间,行业大牛",1天前发布
国铁吉讯科技有限公司,5533108,数据分析工程师,本科,3-5年,15k-25k,杭州,150-500人,不需要融资,"五险一金,绩效奖金,带薪年假,岗位晋升",1天前发布
上海合合信息科技发展有限公司,5864576,数据分析工程师,本科,1-3年,10k-15k,上海,150-500人,C轮,五险一金 扁平化管理,1天前发布
北京达佳互联信息技术有限公司,5759867,数据分析师（流媒体方向）,本科,1-3年,20k-40k,北京,2000人以上,D轮及以上,大平台、数据量大、团队福利好,2019/5/8
北京千橡网景科技发展有限公司,5697163,数据分析工程师,本科,1-3年,12k-20k,北京,2000人以上,上市公司,大牛云集、季度奖金、弹性上班、班车,1天前发布
北京世纪好未来教育科技有限公司,5943812,好未来 数据分析师,本科,3-5年,20k-40k,北京,2000人以上,上市公司,上市公司；免费晚餐；免费水果零食,1天前发布
圆通速递有限公司,5555143,数据分析工程师,本科,1-3年,12k-20k,上海,2000人以上,上市公司,大平台，福利佳，上市公司,1天前发布
同程网络科技股份有限公司,5864090,数据分析工程师,本科,3-5年,12k-24k,北京,2000人以上,上市公司,"核心业务,培训完善,优秀团队",1天前发布
万翼科技有限公司,5463328,数据分析工程师,本科,3-5年,18k-30k,深圳,2000人以上,上市公司,"世界五百强,地产龙头企,薪资福利佳。",1天前发布
深圳市加满分科技有限公司,5909068,数据分析工程师,本科,3-5年,20k-30k,深圳,50-150人,不需要融资,福利待遇好，前景发展好,1天前发布
北京字节跳动科技有限公司,5298966,销售支持实习生-数据分析,本科,不限,2k-3k,南京,2000人以上,C轮,餐补，扁平管理，过亿用户，职业大牛,2天前发布
上海翡翠东方网络信息技术有限公司,5750230,数据分析工程师,不限,3-5年,18k-30k,广州,15-50人,不需要融资,数据分析,1天前发布
中通服创发科技有限责任公司,3328788,数据分析工程师,本科,3-5年,8k-15k,长沙,150-500人,上市公司,一切皆可能,1天前发布
北京智胜新格科技有限公司,4655038,产品运营-数据分析方向,本科,1-3年,8k-15k,北京,150-500人,不需要融资,"六险一金,绩效奖金,节日福利,按摩椅",1天前发布
