上海海万信息科技股份有限公司,3945445,Python 数据分析,大专,3-5年,13k-25k,深圳,500-2000人,不需要融资,"最先进的技,大项目,交通便利,环境好",2019/5/16
武汉点智科技有限公司,5826170,运营专员-数据分析方向,本科,1-3年,6k-8k,武汉,150-500人,B轮,五险一金绩效全勤年终奖,1天前发布
成都航语网络科技有限公司,5501012,数据分析工程师,本科,3-5年,25k-50k,南京,15-50人,不需要融资,五险一金 带薪年假 周末双休 出差补贴,1天前发布
北京金堤科技有限公司,5771866,增长黑客-数据分析方向,不限,不限,25k-50k,北京,150-500人,A轮,"精湛的团队,超牛的技术,超棒的领导",1天前发布
北京三快在线科技有限公司,5862070,【外卖】产品运营-数据分析方向,本科,3-5年,15k-30k,北京,2000人以上,上市公司,发展空间大,1天前发布
平安科技（深圳）有限公司,5712156,11219N-(CW)资深数据分析师,本科,5-10年,15k-30k,深圳,2000人以上,不需要融资,"五险一金,绩效奖金,带薪年假,定期体检",00:00发布
北京嘉和美康信息技术有限公司,5190980,R语言数据分析师,硕士,1-3年,15k-28k,北京,500-2000人,C轮,"五险一金,带薪年假,定期体检,补充医疗",1天前发布
深圳市和讯华谷信息技术有限公司,3771241,售前数据分析师,本科,1-3年,10k-20k,深圳,500-2000人,上市公司,"大数据,D轮+,14薪+,弹性工作",1天前发布
上海永辉云创科技有限公司,5864318,数据分析师,本科,3-5年,25k-40k,上海,2000人以上,D轮及以上,待遇优、空间大、平台好,2019/5/17
平安科技（深圳）有限公司,5931644,1121GN-资深数据分析师,本科,5-10年,15k-25k,深圳,2000人以上,不需要融资,"五险一金,绩效奖金,带薪年假,定期体检",00:00发布
北京五八到家信息技术有限公司,5728692,数据分析师,本科,5-10年,20k-40k,北京,2000人以上,D轮及以上,"平台大,氛围好,不打卡,下午茶",2019/5/17
狮桥融资租赁（中国）有限公司,5818045,数据分析师,本科,1-3年,15k-25k,北京,2000人以上,不需要融资,"绩效奖金,节日福利,团队建设,生活补贴",2019/5/17
北京多知科技有限公司,5912689,数据分析师,本科,3-5年,15k-30k,北京,150-500人,D轮及以上,"周末双休,试用期全薪,节日福利,年底双薪",2019/5/17
北京大米未来科技有限公司,5792515,数据分析师,本科,1-3年,15k-25k,北京,2000人以上,D轮及以上,团队氛围好、发展空间大,2019/5/17
北京弘合柏基金融信息服务有限责任公司,5912620,数据分析师,本科,不限,15k-25k,北京,2000人以上,不需要融资,公司规模大 五险一金 发展空间大,2019/5/17
玖富金科控股集团有限责任公司,5691494,数据分析师,本科,5-10年,18k-30k,北京,2000人以上,D轮及以上,公司牛人多,2019/5/17
虎扑（上海）文化传播股份有限公司,5304999,数据分析师,本科,3-5年,20k-30k,上海,150-500人,D轮及以上,发展前景,2019/5/17
亿达信息技术（深圳）有限公司,5943583,数据分析师,本科,1-3年,8k-11k,深圳,2000人以上,不需要融资,六险一金，班车，年终奖，免费早餐,2019/5/16
凡普金科集团有限公司,5695464,数据分析师,本科,5-10年,20k-35k,北京,2000人以上,不需要融资,成熟的团队 轻松氛围,2019/5/16
国美控股集团有限公司,5900692,数据分析师,本科,3-5年,10k-20k,北京,2000人以上,不需要融资,14薪、带薪年假,2019/5/16
深圳前海达飞金融服务有限公司,5733985,数据分析师（评分卡）,本科,3-5年,12k-20k,深圳,500-2000人,D轮及以上,弹性上班 多多年假 新业务发展多,2019/5/16
北京捷越联合信息咨询有限公司,5859650,数据分析师,本科,1-3年,10k-15k,北京,2000人以上,不需要融资,五险一金 弹性打卡 绩效奖金 下午茶,2019/5/16
宝宝树（北京）信息技术有限公司,5126024,数据分析师(000471),本科,1-3年,20k-40k,北京,500-2000人,D轮及以上,"千万级用户,工作氛围好,发展空间大,试用",2019/5/15
北京趣拿软件科技有限公司,5935619,数据分析师,大专,1-3年,5k-8k,武汉,2000人以上,不需要融资,弹性时间 周末双休 五险一金,2019/5/15
北京五八到家信息技术有限公司,5444468,数据分析师,本科,3-5年,20k-40k,北京,2000人以上,D轮及以上,"平台大,氛围好,不打卡,下午茶",2019/5/17
玖富金科控股集团有限责任公司,5944929,数据分析师,本科,不限,15k-28k,北京,2000人以上,D轮及以上,公司牛人多,2019/5/17
虎扑（上海）文化传播股份有限公司,5864484,数据分析师（小回音APP）,本科,3-5年,10k-20k,上海,150-500人,D轮及以上,"弹性工作,节日福利,五险一金,免费晚餐",2019/5/17
深圳前海达飞金融服务有限公司,5758103,数据分析师（经营管理）,本科,1-3年,8k-15k,深圳,500-2000人,D轮及以上,弹性上班 多多年假 新业务发展多,2019/5/16
达疆网络科技（上海）有限公司,5828609,数据分析师,本科,3-5年,20k-30k,北京,2000人以上,D轮及以上,成长快、氛围好、领导好,2019/5/15
上海亚朵商业管理（集团）股份有限公司,5456635,数据分析师,本科,3-5年,20k-25k,上海,2000人以上,不需要融资,氛围好 有前景 下午茶 节日礼物,2019/5/15
中国信息通信研究院,5906824,数据分析师SXG10,本科,1-3年,8k-10k,北京,2000人以上,不需要融资,"发展空间大,工作氛围好,各种团建",2019/5/15
深圳市瑞宝麟财富投资管理有限公司,5237655,数据分析,本科,1-3年,10k-15k,深圳,2000人以上,不需要融资,"氛围好,晋升空间大",2019/5/14
深圳前海联动云汽车租赁有限公司,5298474,数据分析师,本科,1-3年,7k-14k,深圳,2000人以上,不需要融资,共享汽车 风口行业 食堂 健身房,2019/5/14
青岛国信城市信息科技有限公司,5523541,数据分析,本科,1-3年,10k-20k,青岛,2000人以上,不需要融资,从0-1，市级便捷支付平台,2019/5/14
北京易盟天地信息技术股份有限公司,5872770,数据分析师,本科,5-10年,20k-40k,北京,500-2000人,D轮及以上,待遇好，福利好,2019/5/14
鼎捷软件股份有限公司,5437620,数据分析工程师(帆软报表）,本科,1-3年,7k-10k,南京,2000人以上,上市公司,五险一金全，各项补充福利,1天前发布
广州一智通供应链管理有限公司,4938689,数据分析师/高级数据专员,本科,1-3年,8k-10k,广州,150-500人,B轮,"公司发展快,平台好,地铁附近,氛围优",3天前发布
中信百信银行股份有限公司,5805757,数据分析师,本科,3-5年,20k-30k,北京,150-500人,不需要融资,工作独立创新、薪酬待遇优厚可谈,2019/5/17
北京阿博茨科技有限公司,5830151,数据分析 (MJ000141),不限,1-3年,9k-14k,南京,150-500人,B轮,"人工智能,金融,数据分析,技术驱动",2019/5/17
北京五八到家信息技术有限公司,5918777,数据分析,本科,3-5年,10k-15k,长沙,2000人以上,D轮及以上,独角兽公司，平台大，福利好,2019/5/17
北京读我科技有限公司,5792361,数据分析师(J10380),本科,3-5年,15k-30k,北京,500-2000人,C轮,餐补房补，发展空间大，大牛多,2019/5/17
上海西井信息科技有限公司,5848085,数据分析师,硕士,不限,18k-25k,上海,50-150人,B轮,"发展平台,激发潜力,一线福利,团队有爱",2019/5/17
北京掌众科技有限公司,5933825,数据分析师,本科,1-3年,15k-18k,北京,500-2000人,C轮,班车，五险一金，发展平台，福利待遇优厚,2019/5/17
北京网信金服信息科技有限公司,5896736,数据分析师（数据产品方向）,本科,3-5年,15k-25k,北京,500-2000人,不需要融资,"五险一金,补充医疗,餐补,水果下午茶",2019/5/17
上海易娱网络科技有限公司广州分公司,5696787,数据分析,本科,1-3年,8k-12k,广州,150-500人,不需要融资,热门游戏，流行文化,2019/5/17
北京瓴岳信息技术有限公司,5545140,数据分析师,本科,1-3年,15k-25k,北京,150-500人,不需要融资,科技驱动 年度旅游 弹性工作 福利充足,2019/5/17
广州希音供应链管理有限公司,5827928,数据分析师（服装QC/QA） (MJ000855),大专,3-5年,8k-15k,广州,2000人以上,C轮,"双休,调薪机会,五险一金,节假日福利",2019/5/17
北京车托帮网络技术有限公司,5944713,数据分析师,本科,3-5年,10k-20k,北京,50-150人,C轮,互联网大咖近距离接触，了解行业最前沿技术,2019/5/16
深圳市百果互动科技有限公司,5781438,数据分析师,本科,5-10年,10k-20k,深圳,150-500人,B轮,五险一金 五天七小时 调薪机制,2019/5/16
紫梧桐（北京）资产管理有限公司,5472304,数据分析,本科,1-3年,8k-15k,北京,2000人以上,C轮,地铁周边 弹性工作 老板Nice,2019/5/16
广东联邦车网科技股份有限公司,5265178,数据分析师,本科,3-5年,7k-12k,广州,150-500人,不需要融资,周末双休、晋升空间大、五险一金、福利好,2019/5/16
上海微知软件科技有限公司,5868704,数据分析师,本科,3-5年,15k-25k,上海,150-500人,B轮,B轮融资 扁平化管理 企业服务平台,2019/5/16
上海纵游网络技术有限公司,5928261,数据分析师,本科,不限,10k-20k,上海,150-500人,不需要融资,有竞争力的薪资；发展空间大,2019/5/16
国泰财产保险有限责任公司,5301241,数据分析师,本科,3-5年,20k-30k,上海,500-2000人,不需要融资,蚂蚁控股 互联网保险,2019/5/16
北京读我科技有限公司,5792476,数据分析师(J10380),本科,3-5年,15k-30k,北京,500-2000人,C轮,餐补房补，发展空间大，大牛多,2019/5/17
北京瓴岳信息技术有限公司,5927578,数据分析师,本科,1-3年,15k-25k,北京,150-500人,不需要融资,科技驱动；午餐晚餐；六险一金；地铁周边,2019/5/17
广州趣丸网络科技有限公司,5856547,数据分析师,本科,不限,10k-20k,广州,150-500人,不需要融资,双休、包三餐、互联网、非996,2019/5/16
东莞市糖酒集团美宜佳便利店有限公司,5472091,数据分析师,本科,1-3年,7k-9k,苏州,500-2000人,不需要融资,管理人性化 福利待遇优,2019/5/16
上海氪信信息技术有限公司,5778984,数据分析师（深圳）,本科,不限,10k-20k,深圳,50-150人,B轮,精英团队，弹性工作，超长年假，福利优厚,2019/5/16
北京慢点生活科技有限公司,5883451,数据分析师,本科,3-5年,15k-25k,北京,50-150人,B轮,"弹性工作,出海产品,挑战大,海量数据",2019/5/16
哈步数据科技（上海）有限公司,4341361,数据分析师,本科,1-3年,10k-20k,上海,50-150人,B轮,"发展空间大,弹性工作,福利好,管理扁平",2019/5/16
上海鸿研物流技术有限公司,5371833,数据分析师,本科,3-5年,20k-25k,上海,150-500人,C轮,大牛带队 项目奖励 组织扁平,2019/5/16
上海连享商务咨询有限公司,5887482,数据分析师,本科,1-3年,10k-20k,上海,150-500人,B轮,环境佳 福利好 发展空间大,2019/5/16
四川新网银行股份有限公司,4117345,数据分析师,本科,5-10年,15k-30k,成都,150-500人,不需要融资,"互联网银行,互联网金融,大平台",2019/5/15
浙江网新恩普软件有限公司,5804561,大数据分析师,大专,3-5年,15k-20k,杭州,500-2000人,上市公司,大项目 大数据,2019/5/15
杭州微易信息科技有限公司,4910076,数据分析师,本科,1-3年,8k-15k,杭州,150-500人,B轮,"提升空间大,六险一金,周末双休,弹性时间",2019/5/15
微民保险代理有限公司,5806135,数据分析师,本科,1-3年,10k-20k,深圳,150-500人,不需要融资,腾讯控股公司、不需要融资,2019/5/15
乐学在线教育科技（北京）有限公司,5784690,数据分析 (MJ000149),不限,不限,15k-25k,北京,500-2000人,B轮,五险一金、餐补、节日福利,2019/5/15
中冶赛迪重庆信息技术有限公司,5622525,数据分析师,本科,1-3年,6k-12k,重庆,500-2000人,不需要融资,世界500强央企 大平台,2019/5/15
北京瓴岳信息技术有限公司,5929823,数据分析师（模型）,本科,1-3年,15k-30k,北京,150-500人,不需要融资,稳定平台；弹性上班；福利待遇好；成长快,2019/5/17
上海氪信信息技术有限公司,5823708,数据分析师（北京）,本科,不限,10k-20k,北京,50-150人,B轮,精英团队，弹性工作，超长年假，福利优厚,2019/5/16
哈步数据科技（上海）有限公司,5729645,数据分析师（广州/深圳）,本科,3-5年,8k-15k,广州,50-150人,B轮,外资高管团队；公司文化好；已获多轮融资,2019/5/16
北京读我科技有限公司,5767598,数据分析师(J10367),本科,3-5年,20k-35k,北京,500-2000人,C轮,餐补房补+试用期全薪+足够的上升空间,2019/5/14
乐元素科技（北京）股份有限公司,5927298,数据分析师,本科,3-5年,20k-35k,上海,500-2000人,不需要融资,一流的休闲社交游戏研发团队,2019/5/14
深圳市房多多网络科技有限公司,5927183,数据分析师,硕士,1-3年,15k-25k,深圳,2000人以上,C轮,五险一金、年终奖、补充商业保险、、,2019/5/14
上海壹佰米网络科技有限公司,5858880,数据分析师,本科,3-5年,15k-30k,上海,2000人以上,B轮,"学习型团队,自由开放",2019/5/14
杭州有赞科技有限公司,5399762,资深数据分析师,本科,3-5年,18k-32k,杭州,2000人以上,上市公司,发展空间大、福利待遇好,1天前发布
北京至上泽思信息技术有限公司,5482819,初级数据分析师-数据分析与建模方向,本科,3-5年,20k-40k,上海,50-150人,未融资,"五险一金,补充医疗,节日福利,带薪年假",1天前发布
杭州观数信息科技有限公司,4490433,解决方案顾问/售前顾问 / 数据分析师,本科,3-5年,15k-30k,上海,50-150人,A轮,"成长空间,牛人团队,独挡一面,期权激励",1天前发布
车好多旧机动车经纪（北京）有限公司,5909256,资深数据分析师,本科,不限,20k-40k,北京,2000人以上,D轮及以上,六险一金 期权,1天前发布
广州悦跑信息科技有限公司,5864383,中级数据分析师,本科,3-5年,10k-18k,广州,150-500人,C轮,周末双休 工作氛围好 六险一金,1天前发布
上海阑途信息技术有限公司,5388135,资深数据分析师,本科,5-10年,25k-30k,上海,2000人以上,D轮及以上,扁平化管理,1天前发布
思凯思特（北京）科技有限公司,5718568,数据分析/量化/模型实习生,硕士,不限,5k-7k,北京,150-500人,上市公司,上市公司，培训生，转正机会,1天前发布
上海钧正网络科技有限公司,5249910,业务数据分析,本科,5-10年,20k-35k,上海,2000人以上,D轮及以上,"领导好,平台优",1天前发布
思凯思特（北京）科技有限公司,5718599,数据分析/量化/模型实习生,硕士,不限,5k-7k,上海,150-500人,上市公司,上市公司，培训生，转正机会,1天前发布
车好多旧机动车经纪（北京）有限公司,5923823,商业化数据分析师,本科,不限,20k-40k,北京,2000人以上,D轮及以上,平台大，发展空间大,1天前发布
卓尔智联集团有限公司,5600546,HB-数据分析师-南京,本科,1-3年,6k-12k,南京,2000人以上,上市公司,上市公司 500强 五险一金,1天前发布
灯塔财经信息有限公司,5037237,数据分析师,本科,1-3年,3k-6k,武汉,50-150人,不需要融资,"发展空间好,薪酬福利好,文化氛围好,人性化制度",2019/5/17
即科金融信息服务（上海）有限公司,5338478,数据分析师,本科,3-5年,15k-25k,上海,150-500人,A轮,高速发展 精英团队 大牛带路,2019/5/17
达内时代科技集团有限公司,5762458,数据分析师,本科,1-3年,10k-20k,北京,2000人以上,上市公司,上升空间 专业团队,2019/5/17
杭州脸脸会网络技术有限公司,5936045,数据分析师,大专,3-5年,8k-10k,杭州,150-500人,A轮,发展平台 领导牛 产品牛 期权激励,2019/5/17
杭州微拍堂文化创意有限公司,5767142,数据分析师,大专,3-5年,15k-25k,杭州,150-500人,A轮,"六险一金,餐饮补贴,双休,出国旅游",2019/5/17
珠海市卓轩科技有限公司,5626182,数据分析师,本科,1-3年,12k-20k,深圳,50-150人,A轮,大数据,2019/5/17
浙江创邻科技有限公司,5458590,数据分析师,本科,不限,8k-16k,杭州,15-50人,A轮,"自主性强,灵活工作时,氛围好，前景佳",2019/5/17
苏州瑞鹏信息技术有限公司,5316172,数据分析师,硕士,1-3年,12k-24k,苏州,50-150人,不需要融资,高速发展公司 大牛团队,2019/5/17
风变科技（深圳）有限公司,5021443,数据分析师,硕士,1-3年,10k-15k,深圳,150-500人,A轮,驱动开发，团队年轻，牛人指导,2019/5/16
北京清帆科技有限公司,4734246,数据分析师,硕士,1-3年,10k-20k,北京,15-50人,A轮,"期权激励,晋升空间大,优秀团队,蓝海领域",2019/5/16
广州小黑屋科技有限公司,4774800,数据分析,本科,1-3年,6k-12k,广州,50-150人,A轮,"五险一金,不打卡,年终奖",2019/5/16
成都讯格得信息科技有限公司,5701380,数据分析,硕士,不限,12k-20k,成都,50-150人,不需要融资,五险一金、国定假期、每周水果、休息室,2019/5/16
思凯思特（北京）科技有限公司,3606515,数据分析师,本科,不限,15k-30k,北京,150-500人,上市公司,"五险一金,弹性工作,工作居住证,商业医疗",2019/5/17
北京三快在线科技有限公司,5864494,数据分析师（业务支持）,本科,1-3年,10k-15k,北京,2000人以上,上市公司,大平台 成长快,2019/5/16
天津市神州商龙科技股份有限公司,2413373,数据分析师,本科,3-5年,10k-15k,天津,500-2000人,上市公司,"五险一金,双休,弹性工时,年底双薪",2019/5/16
贵阳高登世德金融科技有限公司,5940087,数据分析师,本科,1-3年,8k-15k,北京,50-150人,A轮,专业培训，上升空间，周末双休，五险一金,2019/5/16
上海流利说信息技术有限公司,5295267,数据分析,本科,3-5年,20k-40k,上海,2000人以上,上市公司,上市公司,2019/5/15
北京百观科技有限公司,4617403,数据分析师,本科,1-3年,15k-25k,北京,15-50人,A轮,"超棒团队,福利待遇好,高成长空间",2019/5/15
杭州恩牛网络技术有限公司,5937522,数据分析师,本科,1-3年,11k-22k,杭州,500-2000人,上市公司,福利待遇、发展前景、上市公司、定期团建等,2019/5/15
上海宝尊电子商务有限公司,5835712,数据分析师,不限,1-3年,8k-10k,上海,2000人以上,上市公司,六险一金上市公司加班补贴 绩效奖金全勤奖,2019/5/15
上海百事通信息技术股份有限公司,5385860,数据分析,本科,1-3年,8k-13k,广州,500-2000人,上市公司,上市公司 专业培训 定期体检,2019/5/15
北京萌宝科技有限公司,5286804,数据分析师,本科,3-5年,15k-30k,北京,50-150人,不需要融资,六险一金，周末双休,2019/5/14
北京自如友家资产管理有限公司,5918600,数据分析,本科,不限,6k-10k,上海,2000人以上,A轮,行业前景佳 职位发展快,2019/5/14
人人贷商务顾问（北京）有限公司,5155283,数据分析师（贷后）,本科,3-5年,25k-40k,北京,2000人以上,A轮,"培训体系,互金行业,合规第一,发展空间大",2019/5/14
上海金大师互联网金融信息服务有限公司,5931421,数据分析师,本科,1-3年,8k-15k,上海,500-2000人,上市公司,高薪+晋升职位=你的职业生涯，六险一金,2019/5/14
深圳妈妈资本管理有限公司,2783123,数据分析师,本科,1-3年,15k-30k,深圳,50-150人,A轮,有牛人,2019/5/14
上海哔哩哔哩科技有限公司,5832094,数据分析（生态运营） (MJ000121),本科,1-3年,15k-30k,上海,2000人以上,上市公司,二次元，六险一金,2019/5/14
随行付支付有限公司,5928986,数据分析师(J10129),本科,3-5年,15k-25k,北京,500-2000人,上市公司,六险一金 班车接送 双休,2019/5/14
平安科技（深圳）有限公司,5628589,11217R-高级数据分析师（GBD）,硕士,3-5年,15k-30k,上海,2000人以上,不需要融资,"五险一金,绩效奖金,加班补助,交通补助",00:00发布
广州市百果园网络科技有限公司,5349225,高级数据分析师（广州）,本科,3-5年,25k-50k,广州,500-2000人,D轮及以上,年底双薪、年终奖、住房补贴、全勤奖,1天前发布
珠海市碧桂园管理服务有限公司,5955504,零售数据分析师,本科,1年以下,8k-15k,佛山,2000人以上,不需要融资,500强企业 发展好,1天前发布
北京至上泽思信息技术有限公司,5482800,初级数据分析师,本科,1-3年,20k-40k,北京,50-150人,未融资,"五险一金,补充医疗,节日福利,带薪年假",1天前发布
蝴蝶互动（上海）信息技术有限公司,5926328,资深数据分析师,本科,1-3年,15k-25k,上海,150-500人,C轮,免费下午茶、13薪、加班补贴、项目奖金,1天前发布
广州小鹏汽车科技有限公司,5857878,资深数据分析师,本科,3-5年,15k-25k,北京,2000人以上,B轮,发展空间大，年底双薪，午餐补贴,1天前发布
人人贷商务顾问（北京）有限公司,5879830,初级数据分析师,本科,1-3年,10k-15k,北京,2000人以上,A轮,"独角兽企业,团队年轻,发展空间,14薪",1天前发布
广州市巴图鲁信息科技有限公司,5873435,业务数据分析师,本科,1-3年,8k-16k,广州,500-2000人,C轮,五险一金；带薪假期；绩效奖金；双休,1天前发布
上海触乐信息科技有限公司,5917995,数据分析Leader,本科,3-5年,20k-40k,广州,500-2000人,上市公司,美股上市公司，团队牛人多,1天前发布
上海婚家婴会展服务有限公司成都分公司,5908425,资深数据分析师,本科,3-5年,20k-35k,杭州,500-2000人,不需要融资,"周末双休,五险一金,弹性工作",1天前发布
苏州瑞小云信息科技有限公司,5598817,数据分析师,本科,3-5年,15k-25k,苏州,15-50人,不需要融资,五险一金、绩效奖金、年终多薪、年度旅游。,2019/5/17
深圳闪电修网络科技有限公司,5921898,数据分析专员,本科,1-3年,6k-8k,深圳,50-150人,A轮,团队优秀,1天前发布
杭州多准数据技术有限公司,5673904,资深数据分析师,本科,3-5年,15k-25k,杭州,50-150人,A轮,六险一金、境内外旅游、带薪年假、培训发展,1天前发布
上海淡红金融科技有限公司,4501681,数据分析主管,本科,3-5年,20k-35k,上海,500-2000人,B轮,"大咖云集,福利好,做五休二,年终奖",1天前发布
上海瑞阙文化发展有限公司,5797680,数据分析主管（客服部门）,本科,5-10年,15k-20k,上海,150-500人,不需要融资,"五险一金,弹性工作,带薪病假,免费晚餐",1天前发布
上海阑途信息技术有限公司,3807239,资深数据分析师,本科,5-10年,10k-20k,武汉,2000人以上,D轮及以上,"一年多次调,优秀团队,地铁周边",1天前发布
广州市巴图鲁信息科技有限公司,5540383,数据分析主管,本科,5-10年,16k-23k,广州,500-2000人,C轮,五险一金；带薪假期；,1天前发布
天津美维信息技术有限公司成都分公司,5364140,数据分析专员,本科,3-5年,8k-15k,成都,500-2000人,D轮及以上,双休 五险一金 绩效奖金 餐补 晋升空间,1天前发布
智道网联科技（北京）有限公司,5279419,资深数据分析师,本科,5-10年,25k-50k,北京,150-500人,A轮,弹性工作,1天前发布
深圳市盛达瑞智能科技有限公司,5920111,数据分析主管,本科,3-5年,15k-30k,深圳,150-500人,不需要融资,5天7小时 扁平化管理,1天前发布
广州伊的家网络科技有限公司,5950338,数据分析工程师,本科,1-3年,8k-14k,广州,2000人以上,不需要融资,"专项奖金,自驱型团队,环境高大上",3天前发布
北京北大软件工程股份有限公司,5469579,大数据分析师,本科,1-3年,15k-30k,北京,500-2000人,未融资,北大；五险一金；积累经验；平台大,2019/5/16
平安养老保险股份有限公司,5797373,08215W-数据分析开发工程师,本科,3-5年,15k-30k,上海,2000人以上,上市公司,"五险一金,绩效奖金,带薪年假,定期体检",00:00发布
贝天姆网络科技（杭州）有限公司,5727782,数据分析专家,本科,5-10年,20k-35k,北京,2000人以上,不需要融资,技术硬，环境佳，近地铁，独角兽背景,1天前发布
深圳市和讯华谷信息技术有限公司,5726171,数据分析主管,本科,3-5年,25k-35k,深圳,500-2000人,上市公司,"五险一金,奖金丰厚,福利多多,定期体检",1天前发布
广东健客医药有限公司,5922737,数据分析专员,本科,1-3年,8k-15k,北京,500-2000人,B轮,"高薪,技术大牛,弹性工作,扁平化管理",1天前发布
北京自如友家资产管理有限公司,5896328,数据分析主管,本科,3-5年,15k-25k,北京,2000人以上,A轮,租房优惠 六险一金 绩效奖金 免费体检,1天前发布
湖北盛天网络技术股份有限公司,5757244,数据分析主管,本科,5-10年,15k-20k,武汉,500-2000人,上市公司,福利好 发展快,1天前发布
北京五八到家信息技术有限公司,5919033,数据分析专家,本科,5-10年,18k-35k,北京,2000人以上,D轮及以上,发展前景好 空间广阔,1天前发布
