公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京汇游科技有限公司,汇游科技,15-50人,不需要融资,朝阳区,python开发工程师,3-5年,本科,15k-20k,"五险一金,全勤奖,餐补,带薪年假"
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,python研发工程师,应届毕业生,本科,10k-20k,"快速发展,人工智能,大数据,待遇好"
北京思维造物信息科技有限公司,罗辑思维,150-500人,D轮及以上,朝阳区,python开发工程师（安全方向）,3-5年,本科,25k-50k,六险一金 年度体检 企业医生 弹性工作
智线云科技（北京）有限公司,ZingFront智线,50-150人,A轮,朝阳区,高级Python工程师,3-5年,本科,15k-25k,"带薪年假,福利多,办公环境好,团队氛围好"
北京超盟数据科技有限公司,北京超盟数据科技有限公司,50-150人,A轮,朝阳区,python后端开发工程师,5-10年,本科,15k-25k,六险一金，周末双休，弹性考勤，发展空间大
北京奇安信科技有限公司,奇安信集团,2000人以上,不需要融资,朝阳区,Python大数据开发工程师,3-5年,本科,25k-45k,"股票期权,弹性工作,高并发系统,行业独角"
北京非凡维格科技有限公司,FlashTrip,15-50人,B轮,朝阳区,python开发,3-5年,本科,15k-25k,带薪年假；开放办公
北京道行思科技有限公司,寻牛,15-50人,B轮,东城区,python策略开发工程师,1-3年,本科,10k-15k,期货 期权 深度学习
北京富顺天牧科技有限公司,富顺天牧,15-50人,不需要融资,大兴区,Django 开发工程师,5-10年,不限,10k-15k,五险、法定假日、6日休
平安科技（深圳）有限公司,平安科技,2000人以上,不需要融资,朝阳区,11215N-Python开发工程师,3-5年,本科,15k-30k,"五险一金,带薪年假,节日福利,绩效奖金"
达而观信息科技（上海）有限公司,达观数据,150-500人,B轮,海淀区,高级python开发工程师,3-5年,本科,20k-30k,"大牛团队,技术领先,发展迅速,准独角兽"
北京启明合心科技有限公司,合心科技,50-150人,B轮,海淀区,Python开发工程师,1-3年,本科,20k-35k,"大数据处理,自由度大,有挑战,公司午晚餐"
北京凌云雀科技有限公司,灵雀云,150-500人,B轮,海淀区,Python,不限,本科,13k-25k,"前沿科技,靠谱团队,工程师文化,H1B计划"
北京快乐茄信息技术有限公司,茄子快传,150-500人,B轮,海淀区,python开发工程师,5-10年,本科,25k-50k,"行业独角兽,团队大牛多,薪资福利好"
北京阿博茨科技有限公司,阿博茨科技,150-500人,B轮,海淀区,PYTHON开发工程师 (MJ000126),1-3年,本科,15k-25k,金融科技 人工智能
智线云科技（北京）有限公司,ZingFront智线,50-150人,A轮,朝阳区,高级Python开发工程师／爬虫／Spider,3-5年,本科,15k-25k,"技术驱动,氛围自由,扁平管理,福利健全"
深圳市金证优智科技有限公司,金证优智,15-50人,A轮,海淀区,python开发工程师,3-5年,本科,15k-25k,带薪年假、餐补、季度团建、节日福利
北京博派通达科技有限公司,博派通达,50-150人,A轮,朝阳区,Python开发工程师（爬虫）,1-3年,大专,12k-20k,"地铁周边,超多大牛,免费茶歇,弹性工作"
北京势在必行网络科技有限公司,币信,50-150人,不需要融资,海淀区,python开发工程师,3-5年,本科,18k-35k,"年底双薪,午餐补助,休闲餐点,弹性工作"
北京金堤科技有限公司,天眼查,150-500人,A轮,海淀区,python开发工程师,不限,本科,15k-25k,公司业务好，技术氛围好
北京摩尔宝宝网络科技有限公司,摩尔妈妈,15-50人,A轮,朝阳区,python开发工程师,1-3年,本科,15k-25k,"大牛带队,注重成长,季度奖金,免费午餐"
北京赋乐科技有限公司,Flow++,50-150人,A轮,海淀区,python开发工程师,3-5年,本科,15k-25k,十四薪+七险一金+绩效金+下午茶+旅游
北京云杉智达科技有限公司,云杉智达科技,15-50人,不需要融资,朝阳区,Python 研发工程师,1-3年,本科,10k-20k,房补、午餐、每月团建经费、零食水果、年假
北京智胜新格科技有限公司,北京智胜新格科技有限...,150-500人,不需要融资,海淀区,Python开发,1-3年,本科,15k-30k,"六险一金,硅谷式办公,绩效奖金,按摩椅"
南京优玛软件科技有限公司,南京优玛软件科技有限公司,150-500人,未融资,石景山区,python开发工程师,3-5年,本科,12k-16k,补贴 团建 13薪
北京影谱科技股份有限公司,影谱科技,50-150人,上市公司,东城区,python开发工程师,3-5年,本科,15k-30k,七险一金，完善福利体系，领导nice，
上海迈外迪网络科技有限公司,迈外迪,150-500人,D轮及以上,朝阳区,python工程师（视觉产品创新中心）,1-3年,本科,10k-20k,交通便利，团队氛围好，有上升空间
生仝智能科技（北京）有限公司,生仝智能,15-50人,天使轮,大兴区,python工程师,不限,硕士,14k-20k,集团子公司，新成立团队，前景广阔，
北京流体网络科技有限公司,流体网络,50-150人,B轮,朝阳区,python开发工程师（广告系统）,3-5年,不限,20k-40k,福利待遇优厚 发展空间大 周末双休
北京微步在线科技有限公司,微步在线,50-150人,B轮,海淀区,python开发工程师,1-3年,本科,15k-30k,"期权激励,晋升空间,带薪年假,人文关怀"
北京博派通达科技有限公司,博派通达,50-150人,A轮,朝阳区,python 开发工程师,1-3年,大专,15k-30k,地铁周边，年终奖，五险一金，带薪休假
中寰卫星导航通信有限公司,中寰卫星,500-2000人,不需要融资,海淀区,python开发工程师,3-5年,本科,15k-30k,六险一金；免费体检；节日福利；免费班车
精硕科技（北京）股份有限公司,AdMaster,500-2000人,不需要融资,海淀区,python开发工程师(J10137),1-3年,不限,15k-25k,扁平管理 行业领先 氛围轻松
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,python开发工程师,3-5年,不限,17k-30k,上市公司
北京逍遥志科技有限公司,逍遥志科技,15-50人,A轮,朝阳区,Python研发工程师,3-5年,本科,18k-25k,牛人多，氛围好，发展快
北京香侬慧语科技有限责任公司,香侬科技,50-150人,A轮,海淀区,python开发工程师,1-3年,本科,15k-20k,大牛带队、亿级融资、地铁周边、零食无限
爱笔（北京）智能科技有限公司,Aibee,150-500人,A轮,海淀区,Python开发工程师,3-5年,本科,20k-40k,"初创公司,技术驱动"
北京中电广通技术服务有限公司,中电广通,50-150人,不需要融资,朝阳区,Python开发工程师,3-5年,本科,10k-20k,"前沿技术,弹性工时,周末双休,五险一金"
北京云杉智达科技有限公司,云杉智达科技,15-50人,不需要融资,朝阳区,Django 研发工程师,1-3年,本科,10k-20k,房补、午餐、每月团建经费、零食水果、年假
高德软件有限公司,阿里巴巴-高德,2000人以上,上市公司,朝阳区,python高级工程师/开发专家,3-5年,本科,25k-50k,发展空间大
北京旷视科技有限公司,旷视MEGVII,500-2000人,D轮及以上,海淀区,高级python开发工程师,1-3年,本科,25k-50k,6险1金 超长假期
北京第三石科技发展有限公司,第三石科技,50-150人,B轮,朝阳区,python开发工程师,1-3年,本科,8k-16k,平台好 高精尖技术氛围
北京升鑫网络科技有限公司,青藤云安全,150-500人,B轮,海淀区,python研发工程师（算法方向）,3-5年,硕士,25k-35k,五险一金 不打卡 餐补 弹性工作
北京钱方银通科技有限公司,钱方好近,150-500人,B轮,朝阳区,python开发工程师,3-5年,本科,13k-26k,五险一金、双休、餐补
北京流体网络科技有限公司,流体网络,50-150人,B轮,朝阳区,Python开发工程师(推荐系统),3-5年,本科,12k-24k,薪资福利优厚
北京第三石科技发展有限公司,第三石科技,50-150人,B轮,朝阳区,Python开发工程师,3-5年,本科,15k-30k,"前沿技术,丰富下午茶,弹性工作,扁平管理"
朗新科技股份有限公司,朗新科技,2000人以上,上市公司,朝阳区,python开发工程师(J10519),不限,不限,15k-25k,节日福利五险一金交通补助带薪年假弹性工作
上海淇毓信息科技有限公司,奇虎360金融,500-2000人,上市公司,朝阳区,python开发工程师,5-10年,本科,20k-30k,上市公司，发展前景好
慧安金科（北京）科技有限公司,慧安金科,50-150人,A轮,海淀区,python开发工程师,3-5年,本科,25k-45k,"六险一金,期权,零食供应,免费三餐"
云孚科技（北京）有限公司,云孚科技,15-50人,不需要融资,海淀区,Python研发工程师,不限,本科,5k-10k,"大牛直接带,顶级挑战,高速成长"
北京特拉库塔科技有限公司,大地量子,15-50人,天使轮,朝阳区,软件工程师-Python,1-3年,本科,15k-28k,大牛团队，股票期权，学术氛围浓厚
北京悦慧康科技有限公司,悦慧康,50-150人,未融资,海淀区,Python开发工程师,1-3年,本科,12k-24k,六险一金 交通补贴 专业培训
北京中科物安科技有限公司,中科物安,15-50人,未融资,海淀区,python开发工程师,3-5年,本科,15k-25k,"发展空间大,五险一金,餐补,带薪年假"
北京微光果壳科技有限公司,微壳,150-500人,不需要融资,朝阳区,Python/Golang开发工程师,3-5年,本科,25k-40k,"Geek,16薪,海外旅游,六险一金"
北京明日虫洞科技有限公司,明日虫洞,50-150人,C轮,海淀区,Python,1-3年,本科,15k-30k,技术团队牛人多&nbsp;核心人员背景强&nbsp;福利好
百度在线网络技术（北京）有限公司,百度,2000人以上,不需要融资,海淀区,python开发工程师,3-5年,本科,20k-40k,――
优维科技（深圳）有限公司,优维科技,50-150人,B轮,朝阳区,Python开发-北京,1-3年,本科,10k-20k,"BAT系,年底奖金,氛围好"
北京神州绿盟信息安全科技股份有限公司,绿盟科技,500-2000人,上市公司,海淀区,实习-Python工程师,1年以下,本科,2k-4k,五险一金，周末双休
北京奇安信科技有限公司,奇安信集团,2000人以上,不需要融资,朝阳区,python开发,1-3年,本科,10k-20k,免费三餐 弹性工作制
北京推想科技有限公司,推想科技,150-500人,C轮,朝阳区,初级python工程师,1-3年,本科,13k-20k,"人工智能,团队年轻,年终奖丰厚"
云孚科技（北京）有限公司,云孚科技,15-50人,不需要融资,海淀区,python研发工程师,不限,本科,8k-16k,"人工智能,成长快,回报快,B2B"
北京狸米科技有限公司,狸米科技,500-2000人,B轮,朝阳区,python,3-5年,本科,20k-30k,"领导奶思,管理扁平,团队年轻,发展空间大"
乐飞天下信息技术(北京)有限公司,乐飞天下,150-500人,未融资,朝阳区,中级Python开发工程师（AK）,5-10年,大专,15k-25k,五险一金 带薪假 海外旅游 节假福利
北京超盟数据科技有限公司,北京超盟数据科技有限公司,50-150人,A轮,朝阳区,中级python开发工程师,3-5年,本科,15k-25k,六险一金，周末双休，弹性考勤，发展空间大
北京推想科技有限公司,推想科技,150-500人,C轮,朝阳区,高级python开发工程师,5-10年,本科,20k-40k,不打卡，领导nice
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,高级Python研发工程师,3-5年,本科,22k-35k,"千万级用户,高并发系统"
北京摩尔宝宝网络科技有限公司,摩尔妈妈,15-50人,A轮,朝阳区,高级python开发工程师,3-5年,本科,30k-40k,"大牛带队,注重成长,季度奖金,免费午餐"
北京智分科技有限公司,NewsJet,50-150人,不需要融资,海淀区,高级Python开发工程师,3-5年,本科,25k-45k,"Geek范,清华系,福利待遇好,股票期权"
北京格灵深瞳信息技术有限公司,格灵深瞳,150-500人,C轮,海淀区,Python高级开发工程师&nbsp;,3-5年,本科,20k-40k,"扁平化管理,不定期团建"
北京步鼎方舟科技有限公司,微车,150-500人,C轮,海淀区,Python高级开发工程师,5-10年,本科,20k-40k,"六险一金,通讯补贴,带薪年假"
北京右划网络科技有限公司,V8实拍,150-500人,B轮,朝阳区,高级python开发工程师,3-5年,本科,30k-60k,"短视频,大牛云集,工程师文化,一年15薪"
北京瑞莱智慧科技有限公司,RealAI,15-50人,天使轮,海淀区,资深Python工程师,不限,本科,18k-36k,"大牛带队,扁平化管理,弹性工作,高日薪"
北京无极慧通科技有限公司,无极慧通,50-150人,A轮,海淀区,高级python开发工程师,1-3年,本科,10k-15k,"广阔的发展,创业公司,融洽的办公"
北京新工场投资顾问有限公司,她理财,50-150人,A轮,朝阳区,高级python开发工程师,1-3年,本科,15k-30k,互联网金融 无天花板 六险一金 期权激励
北京逍遥志科技有限公司,逍遥志科技,15-50人,A轮,朝阳区,高级Python研发工程师,5-10年,本科,25k-50k,牛人多，氛围好，发展快
乐飞天下信息技术(北京)有限公司,乐飞天下,150-500人,未融资,朝阳区,python高级研发工程师,5-10年,大专,20k-35k,"绩效奖金,员工旅游,带薪年假,股票期权"
北京高鸿兴科信息技术有限公司武汉分公司,高鸿兴科,50-150人,不需要融资,海淀区,高级python开发工程师,5-10年,本科,14k-17k,"福利健全,外包岗,五险一金"
飞维美地信息技术（北京）有限公司,FreeWheel,500-2000人,上市公司,朝阳区,Lead Go/Python/Java工程师,5-10年,本科,35k-45k,"美资互联网,技术导向,英文环境,硅谷文化"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,资深Python研发工程师,5-10年,本科,25k-40k,"上市公司,六险一金,发挥空间,团队氛围"
北京旷视科技有限公司,旷视MEGVII,500-2000人,D轮及以上,海淀区,Python后端开发工程师,3-5年,本科,25k-50k,大牛多，技术氛围好
北京云杉智达科技有限公司,云杉智达科技,15-50人,不需要融资,朝阳区,高级 Python 研发工程师/方向负责人,3-5年,本科,20k-35k,房补、午餐、每月团建经费、零食水果、年假
北京第三石科技发展有限公司,第三石科技,50-150人,B轮,朝阳区,高级Python开发工程师,5-10年,本科,25k-40k,"前沿技术,弹性工作,丰富下午茶"
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,Python开发leader,3-5年,本科,18k-30k,上市公司；免费晚餐；打车报销；六险一金
北京推想科技有限公司,推想科技,150-500人,C轮,朝阳区,python开发实习生 (MJ000270),不限,本科,4k-8k,大牛带队，人工智能
北京一人一亩田网络科技有限公司,一亩田,150-500人,C轮,海淀区,Python后端研发工程师,3-5年,本科,15k-30k,五险一金 股票期权 领导NICE 弹性工作
中科天玑数据科技股份有限公司,中科天玑,150-500人,B轮,西城区,pyhton开发工程师―外派岗位,3-5年,本科,13k-23k,年底双薪 五险一金 带薪年假
克鲁（北京）网络科技有限公司,Castbox,50-150人,B轮,朝阳区,Python后端开发工程师,3-5年,本科,20k-40k,"大牛云集,硅谷文化,免费三餐,租房补贴"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,Python开发实习生,应届毕业生,本科,9k-12k,业界大牛，每日三餐下午茶，瑜伽健身房。
北京快乐茄信息技术有限公司,茄子快传,150-500人,B轮,海淀区,高级Python工程师(000397)(BJ)(YF),3-5年,本科,25k-35k,"弹性工作,工作氛围好,精英团队"
北京饕餮互动信息科技有限公司,北京饕餮互动信息科技...,15-50人,未融资,朝阳区,Python运维开发工程师,1-3年,本科,13k-20k,扁平管理、发展机会多、氛围好、地铁旁
乐飞天下信息技术(北京)有限公司,乐飞天下,150-500人,未融资,朝阳区,Python中高级开发工程师,5-10年,大专,15k-30k,五险一金 带薪假 海外旅游 节假福利
飞维美地信息技术（北京）有限公司,FreeWheel,500-2000人,上市公司,朝阳区,资深Java/Python/C#/PHP开发,3-5年,本科,27k-34k,"美资互联网,技术导向,英文环境,硅谷文化"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,高级Python研发（熟悉Devops平台优先）,3-5年,不限,15k-20k,年度旅游 节日福利 14薪 年度体检
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,python Leader,5-10年,本科,30k-50k,上市公司
北京聚道科技有限公司,GeneDock,15-50人,B轮,海淀区,Python后端工程师,5-10年,本科,25k-40k,"五险一金,免费午餐,团队融洽,技术超前"
深圳晶泰科技有限公司,晶泰科技,50-150人,B轮,海淀区,Python后台开发,1-3年,本科,12k-20k,"五险一金,带薪年假,MIT大牛"
北京一人一亩田网络科技有限公司,一亩田,150-500人,C轮,海淀区,Python实习生,不限,本科,3k-6k,"电商平台,大牛团队,导师培养"
财新传媒有限公司,财新传媒,150-500人,A轮,朝阳区,python运维开发工程师,3-5年,本科,10k-20k,股票期权 绩效奖金 五险一金 园区食宿
百度在线网络技术（北京）有限公司,百度,2000人以上,不需要融资,海淀区,python后端工程师,3-5年,本科,20k-40k,"BAT,弹性工作,发展空间大,福利多"
北京钱方银通科技有限公司,钱方好近,150-500人,B轮,朝阳区,python技术经理,5-10年,本科,20k-40k,晋升空间大
北京云杉智达科技有限公司,云杉智达科技,15-50人,不需要融资,朝阳区,Python后端开发,1-3年,本科,15k-25k,带薪休假、午餐等福利、五险一金、晋升空间
混沌时代（北京）教育科技有限公司,混沌大学,150-500人,不需要融资,海淀区,python后台工程师,1-3年,本科,15k-25k,"五险一金,补充医疗,定期体检,弹性工作"
北京小象科技有限公司,Chinahadoop,15-50人,未融资,朝阳区,Python助教,1年以下,本科,8k-12k,弹性工作 自助午餐 扁平管理
云势天下（北京）软件有限公司,云势软件,150-500人,A轮,朝阳区,Python后端工程师,5-10年,本科,20k-30k,"五险一金,团队优秀,带薪年假,扁平管理"
联通大数据有限公司,联通大数据,150-500人,不需要融资,东城区,Python运维开发工程师,3-5年,本科,15k-25k,"锻炼思维,能力提升,地铁站旁,扁平化管理"
混沌时代（北京）教育科技有限公司,混沌大学,150-500人,不需要融资,海淀区,python后台工程师,3-5年,本科,20k-40k,"弹性工作,六险一金,学习氛围,绩效奖金"
北京旷视科技有限公司,旷视MEGVII,500-2000人,D轮及以上,海淀区,python高级后端工程师,5-10年,本科,25k-50k,核心团队
京东数字科技控股有限公司,京东数字科技,2000人以上,上市公司,大兴区,python开发工程师,5-10年,本科,25k-35k,大平台 福利健全
慧安金科（北京）科技有限公司,慧安金科,50-150人,A轮,海淀区,Python数据开发工程师,3-5年,本科,25k-45k,"六险一金,期权,零食供应,免费三餐"
北京墨云科技有限公司,墨云科技,50-150人,B轮,海淀区,Python后端开发工程师,3-5年,本科,15k-30k,"五险一金,弹性工作,餐补,带薪年假"
北京车之家信息技术有限公司,汽车之家,2000人以上,上市公司,海淀区,python工程师,3-5年,本科,15k-25k,"平台好,发展空间大"
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,海淀区,python后台开发（深圳）,3-5年,本科,30k-50k,大平台
北京云杉智达科技有限公司,云杉智达科技,15-50人,不需要融资,朝阳区,Python后端,1-3年,本科,12k-24k,五险一金、晋升空间、绩效奖金
北京中睿天下信息技术有限公司,中睿天下,150-500人,A轮,海淀区,python安全开发工程师,3-5年,本科,12k-18k,技术氛围浓厚，薪资与能力挂钩
北京启明合心科技有限公司,合心科技,50-150人,B轮,海淀区,高级python后端工程师,3-5年,本科,20k-35k,"领导好,不打卡,氛围好"
宁波平方和投资管理合伙企业（有限合伙）,平方和投资,15-50人,不需要融资,海淀区,python开发工程师,3-5年,本科,15k-30k,发展前景好，同事关系和谐，工作环境优越
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,高级Python开发工程师,3-5年,本科,25k-50k,硅谷氛围，高手云集，零食水果，六险一金
海致网络技术（北京）有限公司,海致,150-500人,C轮,海淀区,Python开发工程师（后台）,3-5年,本科,16k-25k,金融大数据 独角兽 有期权
北京向上一心科技有限公司,老虎集团,150-500人,上市公司,朝阳区,python开发工程师,3-5年,本科,20k-35k,技术氛围好；交通便利
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,高级python工程师,3-5年,本科,30k-60k,六险一金，高薪期权，弹性工作，免费三餐
北京旷视科技有限公司,旷视MEGVII,500-2000人,D轮及以上,海淀区,Python平台开发,不限,本科,24k-40k,发展前景好、福利待遇高
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,高级Python开发工程师,3-5年,本科,25k-40k,"硅谷式办公,弹性工作,时令水果"
联通大数据有限公司,联通大数据,150-500人,不需要融资,东城区,Python高级运维开发工程师,5-10年,本科,15k-25k,"锻炼思维,偏平化管理,技能培训,地铁站旁"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python 3 开发 (MJ000552),1-3年,本科,20k-35k,"三餐,健身房,mac"
北京智合大方科技有限公司,客知音,50-150人,A轮,东城区,python后端（语音AI产品）,1-3年,本科,20k-40k,人工智能；技术驱动；大牛带队；福利多多
京东数字科技控股有限公司,京东数字科技,2000人以上,上市公司,大兴区,Python开发工程师-自动化网络方向,3-5年,本科,18k-30k,"班车,餐补"
北京向上一心科技有限公司,老虎集团,150-500人,上市公司,朝阳区,Python开发工程师,3-5年,本科,25k-35k,"六险一金,超多假期 正常双休"
北京车之家信息技术有限公司,汽车之家,2000人以上,上市公司,海淀区,pyhton/golang研发工程师,3-5年,本科,20k-30k,"发展空间大,团队氛围好"
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,海淀区,Python开发工程师-小米电视,3-5年,本科,15k-30k,创业氛围
北京优思安科技有限公司,积云教育,150-500人,A轮,昌平区,Python高级讲师,3-5年,本科,20k-30k,"五险一金,餐补,周末双休,班车接送"
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,python研发工程师,1年以下,硕士,15k-30k,"飞速发展,技术氛围浓,待遇好,发展快"
福建海源新材料科技有限公司,hynm,500-2000人,上市公司,海淀区,Python研发工程师,3-5年,本科,30k-40k,五险一金，健康体检
北京中谷金科信息技术有限公司,中谷金科,50-150人,B轮,通州区,高级Python工程师,3-5年,本科,15k-25k,"互联网金融,大数据,量化开发,自主性强"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,python开发工程师,1-3年,本科,20k-35k,六险一金，高薪期权，弹性工作，免费三餐
上海一起作业信息科技有限公司,一起科技,500-2000人,D轮及以上,朝阳区,python高级工程师（技术平台）,3-5年,本科,25k-50k,福利待遇
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,python开发工程师,1-3年,本科,15k-30k,硅谷氛围，高手云集，零食水果，六险一金
京东数字科技控股有限公司,京东数字科技,2000人以上,上市公司,大兴区,高级Python开发工程师,5-10年,本科,20k-40k,"班车,餐补"
北京车之家信息技术有限公司,汽车之家,2000人以上,上市公司,海淀区,Python开发工程师,3-5年,本科,15k-25k,平台好，发展空间大
北京优思安科技有限公司,积云教育,150-500人,A轮,昌平区,python中高级讲师,3-5年,本科,15k-25k,"五险一金,餐补,节日福利,免费班车"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python开发,1-3年,本科,20k-40k,"三餐,健身房,mac"
永杨安风（北京）科技有限公司,LBE 科技,50-150人,B轮,朝阳区,资深Python工程师,5-10年,本科,35k-45k,"移动互联网,绩效奖金,妹子多,国外团建"
信永中和会计师事务所（特殊普通合伙）,信永中和,2000人以上,不需要融资,东城区,Python开发工程师,3-5年,本科,15k-25k,"环境好,不加班,大公司"
深圳市海视泰科技有限公司,海视科技,500-2000人,C轮,朝阳区,python,3-5年,本科,20k-40k,六险一金全额 ，早晚餐，弹性打卡
百融云创科技股份有限公司,百融云创,500-2000人,C轮,海淀区,高级python开发工程师,3-5年,本科,20k-30k,六险一金
北京向上一心科技有限公司,老虎集团,150-500人,上市公司,朝阳区,Python开发工程师,1-3年,本科,20k-35k,"六险一金,绩效奖金,发展空间大,股票期权"
北京区块节点科技有限公司,区块节点,50-150人,不需要融资,朝阳区,python工程师（算法方向）,1-3年,本科,15k-25k,"期权激励,年底多薪,绩效奖金,弹性工时"
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,海淀区,数据平台python研发,3-5年,本科,15k-25k,福利好，待遇好，环境好
北京微瑞科技有限责任公司,Swie.io,15-50人,天使轮,海淀区,Python工程师,3-5年,本科,12k-20k,十五天带薪年假，国际团队，期权股票
