公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京马哥教育科技有限公司,马哥教育,15-50人,不需要融资,昌平区,pyhton讲师,5-10年,大专,20k-30k,五险全勤奖交通补助餐补员工旅游节日福利
恒爱高科（北京）科技有限公司,恒爱高科,15-50人,天使轮,海淀区,Python 后台工程师,1-3年,本科,7k-14k,"潜力大,钱多,技术先进,有实力"
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,AI Lab-Python增效工具链开发工程师,不限,本科,4k-6k,地铁周边、扁平化管理、节日礼物、交通补助
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,AI Lab-Python实习生,不限,本科,4k-6k,地铁周边、扁平化管理、节日礼物、交通补助
北京谦亨网络科技有限公司,谦亨网络科技,少于15人,未融资,海淀区,python实习,应届毕业生,不限,3k-5k,"提升空间大,待遇福利好,股份期权"
北京水木梧桐创业投资管理有限公司,水木创投,50-150人,不需要融资,东城区,python架构师,5-10年,不限,25k-35k,五险一金
北京融七牛信息技术有限公司,融360,500-2000人,上市公司,海淀区,python研发架构师,5-10年,本科,30k-45k,"周末双休,节日福利,五险一金,股票期权"
环嘉集团有限公司,环嘉集团,2000人以上,不需要融资,海淀区,python后端,3-5年,不限,25k-35k,五险一金，团队融洽，技术超前
兆百特（北京）信息技术有限公司,兆百特,50-150人,A轮,朝阳区,Python后台研发实习工程师,应届毕业生,不限,4k-6k,"不打卡,至少4天"
北京视野金服信息技术有限公司,视野金融,50-150人,A轮,海淀区,python大数据处理工程师,3-5年,本科,15k-25k,五险一金 股票期权 加班补助 带薪年假
北京东土科技股份有限公司,东土科技,500-2000人,上市公司,石景山区,Python/C++研发工程师,3-5年,本科,20k-40k,五险一金 交通补助 餐补 话补 体检
北京粉笔未来科技有限公司,猿辅导,2000人以上,D轮及以上,朝阳区,python助教实习生,应届毕业生,本科,3k-4k,"一带一帮带,独角兽行业"
艺恩世纪国际信息咨询（北京）有限公司,艺恩,50-150人,未融资,朝阳区,高级Python采集工程师,5-10年,本科,18k-25k,"弹性工时,补充医疗,带薪病假,扁平管理"
北京奇艺世纪科技有限公司,爱奇艺,2000人以上,上市公司,海淀区,Golang &amp; Python 安全开发实习生,不限,本科,2k-3k,牛人多，学习机会多 ；有转正机会
北京太极华保科技股份有限公司,太极华保,150-500人,B轮,海淀区,中级python后端,1-3年,本科,10k-20k,餐补，通讯补，五险一金，带薪休假，团建
北京趣码科技有限公司,趣码科技,150-500人,不需要融资,海淀区,Python高级讲师,1-3年,大专,10k-20k,发展空间大，大集团公司
北京芽芽科技有限公司,芽芽,少于15人,未融资,海淀区,高级python后端,3-5年,本科,14k-24k,五险一金，额外补充医疗，定期团建，餐补
深圳点猫科技有限公司,编程猫,500-2000人,B轮,东城区,Python培训讲师,3-5年,本科,8k-15k,"弹性,提成多多,五险一金,饭补"
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,AI Lab-python后台开发实习生,不限,本科,4k-6k,地铁周边、扁平化管理、节日礼物、交通补助
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,python爬虫工程师,1-3年,本科,22k-40k,六险一金，弹性工作，免费三餐，租房补贴
北京新锦成科技有限公司,新锦成,150-500人,A轮,海淀区,python数据统计,应届毕业生,本科,3k-5k,扁平化管理 ；弹性工作时间 ；发展空间大
北京奥德塔数据科技有限公司,奥德塔,15-50人,天使轮,海淀区,python高级爬虫工程师,3-5年,本科,12k-18k,六险一金，带薪年假，免费班车，餐补交补等
深圳码隆科技有限公司,码隆科技,50-150人,B轮,海淀区,Python Web全栈研发实习生,应届毕业生,本科,4k-5k,大牛多 工作氛围好 360°海景
北京阿博茨科技有限公司,阿博茨科技,150-500人,B轮,海淀区,python爬虫实习生 (MJ000157),应届毕业生,本科,3k-5k,福利待遇佳
北京新工场投资顾问有限公司,她理财,50-150人,A轮,朝阳区,Go工程师,1-3年,本科,15k-30k,互联网金融 无天花板 六险一金 期权激励
北京达佳互联信息技术有限公司,快手,2000人以上,D轮及以上,海淀区,AR算法研究员,3-5年,硕士,25k-50k,免费午晚餐，下午茶，健身房
北京优友动量网络技术有限公司,火萤,15-50人,不需要融资,石景山区,GO架构师,5-10年,本科,40k-80k,"弹性,双休,扁平,额外补助"
明睿（北京）资本管理有限公司,明睿资本,少于15人,不需要融资,朝阳区,量化开发工程师（Java/C++/Python方向,1-3年,本科,20k-30k,"五险一金,补充医疗,带薪年假,绩效工资"
瑞幸咖啡（中国）有限公司,瑞幸咖啡,2000人以上,B轮,海淀区,高级容器云开发工程师/容器技术专家,5-10年,本科,30k-60k,互联网新零售独角兽公司
北京旷视科技有限公司,旷视MEGVII,500-2000人,D轮及以上,海淀区,云平台开发工程师（Python/Go/C++）,1-3年,本科,25k-50k,人工智能，人脸识别，云平台
车好多旧机动车经纪（北京）有限公司,车好多集团,2000人以上,D轮及以上,海淀区,后端开发（爬虫方向）,3-5年,本科,20k-40k,搜索研发 海量数据
凤凰飞扬（北京）新媒体信息技术有限公司,凤凰网,2000人以上,上市公司,朝阳区,golang工程师,3-5年,本科,20k-35k,团队扁平化、股票期权、上市公司
支付宝（杭州）信息技术有限公司,蚂蚁金服集团,2000人以上,B轮,朝阳区,数据研发工程师/技术专家（财富事业群）,5-10年,本科,35k-60k,大平台 团队氛围 快速成长
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,大数据部-Python爬虫实习生,1年以下,本科,4k-6k,大平台 福利好
北京市商汤科技开发有限公司,商汤科技,2000人以上,C轮,海淀区,软件开发工程师,3-5年,本科,20k-40k,发展空间大、弹性工作、午餐补助、扁平管理
车好多旧机动车经纪（北京）有限公司,车好多集团,2000人以上,D轮及以上,海淀区,资深大数据开发工程师,3-5年,本科,30k-60k,"大数据,spark,hive,hbase"
北京推想科技有限公司,推想科技,150-500人,C轮,朝阳区,开发工程师,1-3年,本科,10k-15k,人工智能、扁平管理、发展空间大
北京一人一亩田网络科技有限公司,一亩田,150-500人,C轮,海淀区,研发工程师,3-5年,本科,20k-35k,六险一金，弹性工作，双休，年终奖，年假
广州实地房地产开发有限公司,实地集团,2000人以上,不需要融资,朝阳区,开发工程师,3-5年,不限,18k-27k,"6险1金,周末双休"
北京永鼎致远网络科技有限公司,永鼎致远,150-500人,未融资,海淀区,技术服务工程师,1-3年,大专,7k-8k,发展空间大；公司氛围好；福利好
北京神州绿盟信息安全科技股份有限公司,绿盟科技,500-2000人,上市公司,海淀区,研发工程师,3-5年,本科,10k-20k,六险一金，绩效奖金
北京旷视科技有限公司,旷视MEGVII,500-2000人,D轮及以上,海淀区,后台开发工程师 （深度学习平台）,3-5年,本科,25k-50k,"大牛云集,弹性工作"
轻客智能科技（江苏）有限公司,MYNTAI小觅智能,50-150人,A轮,朝阳区,ROS开发工程师,1-3年,本科,18k-30k,"发展空间大,快速发展期,团队氛围好,薪资优越"
北京晟政科技有限公司,北京晟政科技有限公司,50-150人,不需要融资,海淀区,钱包开发工程师,3-5年,本科,15k-25k,"五险一金,氛围好,领导好"
百融云创科技股份有限公司,百融云创,500-2000人,C轮,海淀区,研发工程师-算法方向,应届毕业生,本科,16k-20k,"年底双薪,带薪年假,绩效奖励,年度旅游"
爱笔（北京）智能科技有限公司,Aibee,150-500人,A轮,海淀区,开发工程师-计算平台?,不限,不限,15k-30k,人工智能 创业氛围
秒针信息技术有限公司,明略科技集团,500-2000人,D轮及以上,朝阳区,前端开发工程师,3-5年,本科,15k-30k,弹性工作、层级扁平、带薪年假、房补车补
昆仑智汇数据科技（北京）有限公司,K2DATA,150-500人,B轮,海淀区,软件开发工程师（Python）,3-5年,本科,15k-30k,行业大牛
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,高级数据仓库开发工程师,3-5年,本科,20k-40k,平台好
北京市商汤科技开发有限公司,商汤科技,2000人以上,C轮,海淀区,大数据平台开发工程师,3-5年,硕士,25k-50k,"核心业务,高薪酬福利,技术大牛"
车好多旧机动车经纪（北京）有限公司,车好多集团,2000人以上,D轮及以上,朝阳区,Golang开发工程师,3-5年,本科,25k-50k,"核心团队,技术大牛,丰厚福利"
北京旷视科技有限公司,旷视MEGVII,500-2000人,D轮及以上,海淀区,测试开发工程师,3-5年,本科,15k-25k,极客范
因诺（上海）资产管理有限公司,因诺,15-50人,不需要融资,西城区,系统开发工程师,1-3年,硕士,15k-25k,"扁平管理,牛人团队,绩效奖金,六险一金"
北京太古代科技有限公司,太古代科技,50-150人,B轮,海淀区,量化开发工程师,1-3年,本科,20k-40k,福利待遇优厚！
北京微聚未来科技有限公司,微聚未来,500-2000人,不需要融资,海淀区,高级测试开发工程师,3-5年,不限,20k-35k,"牛人团队,带薪年假,16薪考核,快速成长"
北京神州祥龙投资管理有限公司,亚马逊（中国）,2000人以上,上市公司,朝阳区,软件开发工程师,1-3年,本科,20k-40k,无996，全球大型复杂系统开发，大数据
北京声智科技有限公司,声智科技,150-500人,B轮,海淀区,云服务研发工程师（NLP方向）,3-5年,本科,15k-30k,"六险一金,团建旅游,扁平化管理"
北京奇智睿思信息咨询有限公司,奇智睿思,2000人以上,上市公司,朝阳区,研发技术经理（CRM&amp;电商）,5-10年,本科,25k-50k,"国际化团队,国际化客户,气氛活跃,加班少"
华风爱科气象科技（北京）有限公司,华风爱科,15-50人,不需要融资,朝阳区,气象系统开发工程师,1-3年,硕士,15k-20k,新的行业，新的起点
爱笔（北京）智能科技有限公司,Aibee,150-500人,A轮,海淀区,ELK开发工程师,不限,本科,25k-50k,发展前景好/六险一金/午晚餐/技术大牛
北京印象笔记科技有限公司,印象笔记,50-150人,A轮,朝阳区,"软件开发工程师,Java",3-5年,本科,15k-30k,"交通,餐补，健身补贴，最多20天超长假期"
睦星科技（北京）有限公司,睦星科技,15-50人,A轮,海淀区,软件开发工程师,不限,本科,30k-60k,弹性工作；上升空间大；期权激励；大牛众多
杉数科技（北京）有限公司,杉数科技,50-150人,B轮,东城区,算法研发工程师,不限,本科,20k-30k,领域大牛导师&amp;精英团队 六险一金 快速成长
车好多旧机动车经纪（北京）有限公司,车好多集团,2000人以上,D轮及以上,朝阳区,高级/资深大数据开发工程师,3-5年,本科,25k-50k,"期权激励,弹性工作制,晋升空间,15薪起"
北京市商汤科技开发有限公司,商汤科技,2000人以上,C轮,海淀区,高级测试开发工程师,3-5年,本科,20k-40k,薪酬福利好、技术大牛多、发展快、核心团队
北京百炼智能科技有限公司,百炼智能,15-50人,天使轮,朝阳区,搜索技术工程师,1-3年,本科,15k-30k,"牛人多,平台发展快,工作氛围好,福利优厚"
北京拉勾网络技术有限公司,拉勾网,500-2000人,D轮及以上,海淀区,大数据开发工程师,3-5年,本科,18k-36k,"技术大牛,大数据,高成长,发展空间"
平安科技（深圳）有限公司,平安科技,2000人以上,不需要融资,朝阳区,1121F3-511北京-资深容器开发工程师,3-5年,本科,20k-30k,"五险一金,带薪年假,节日福利"
北京深醒科技有限公司,深醒科技,150-500人,B轮,东城区,中级软件开发工程师（C/C++方向）,1-3年,硕士,15k-25k,年终奖金 五险一金 定期体检 带薪年假
北京达佳互联信息技术有限公司,快手,2000人以上,D轮及以上,海淀区,基础平台研发工程师,3-5年,本科,15k-30k,"弹性工作,奖金丰厚,工作氛围好,各种团建"
融慧金科金融服务外包（北京）有限公司,融慧金科,50-150人,A轮,朝阳区,模型开发工程师 （全职/实习）,不限,本科,14k-28k,"五险一金,股票期权,带薪年假，地铁周边"
北京快看世界信息技术有限公司,快看漫画,150-500人,D轮及以上,朝阳区,数仓平台开发工程师,3-5年,本科,20k-40k,"双休,七险一金,免费晚餐,重点业务"
申万宏源证券有限公司,申万宏源证券有限公司,2000人以上,上市公司,西城区,高级软件开发工程师,5-10年,本科,15k-30k,金融IT行业，机会多多，收入多多
北京自如友家资产管理有限公司,自如网,2000人以上,A轮,朝阳区,PHP开发工程师,3-5年,本科,16k-30k,绩效奖金，六险一金，带薪年假，团队氛围好
北京安为科技有限公司,北京安为科技有限公司,15-50人,未融资,海淀区,软件开发工程师,3-5年,本科,15k-25k,"五险一金,带薪年假,集体活动多,多次调薪"
因诺（上海）资产管理有限公司,因诺,15-50人,不需要融资,西城区,资深开发工程师,3-5年,硕士,20k-30k,"扁平管理,牛人团队,绩效奖金,六险一金"
北京奇智睿思信息咨询有限公司,奇智睿思,2000人以上,上市公司,朝阳区,资深前端工程师 / 前端技术经理,5-10年,本科,20k-40k,"国际化团队,国际化客户,气氛活跃,加班少"
跨越速运集团有限公司,跨越速运,2000人以上,不需要融资,朝阳区,路径引导高级开发工程师,1-3年,大专,15k-30k,薪酬福利好，晋升空间大，扁平化管理
车好多旧机动车经纪（北京）有限公司,车好多集团,2000人以上,D轮及以上,海淀区,前端开发负责人/前端技术专家,3-5年,本科,20k-40k,"技术框架,人工智能"
北京达佳互联信息技术有限公司,快手,2000人以上,D轮及以上,海淀区,基础平台研发工程师,3-5年,本科,30k-50k,免费双餐，免费健身房，团队大牛多
北京拉勾网络技术有限公司,拉勾网,500-2000人,D轮及以上,海淀区,安全开发工程师,5-10年,本科,20k-40k,"挑战,机会,自由,技术氛围浓"
北京自如友家资产管理有限公司,自如网,2000人以上,A轮,朝阳区,JAVA开发工程师（服务）,1-3年,本科,10k-20k,上升快 牛人多 工作有趣 领导好 租房7.5折
北京深醒科技有限公司,深醒科技,150-500人,B轮,东城区,高级软件开发工程师（深度学习方向）,5-10年,硕士,20k-40k,年终奖金 五险一金 定期体检 带薪年假
北京市商汤科技开发有限公司,商汤科技,2000人以上,C轮,海淀区,系统开发工程师,5-10年,本科,25k-50k,人工智能平台 发展空间 技术成长
北京神州祥龙投资管理有限公司,亚马逊（中国）,2000人以上,上市公司,朝阳区,高级软件开发工程师,5-10年,本科,35k-60k,无996，Kindle开发
优刻得科技股份有限公司,UCloud,500-2000人,D轮及以上,西城区,云管产品研发工程师,3-5年,本科,20k-40k,"六险一金,领导好,独角兽公司,弹性工作"
因诺（上海）资产管理有限公司,因诺,15-50人,不需要融资,西城区,高级系统开发工程师,3-5年,硕士,15k-30k,"扁平管理,牛人团队,绩效奖金,六险一金"
北京凌云雀科技有限公司,灵雀云,150-500人,B轮,海淀区,后端开发工程师,不限,本科,15k-30k,"技术领先,团队顶级,项目靠谱,资金充足"
北京睿企信息科技有限公司,北京睿企信息科技有限公司,50-150人,A轮,朝阳区,算法开发工程师（NLP方向）,1-3年,本科,20k-30k,六险一金 ；定期体检；扁平管理；定期团建
探探科技（北京）有限公司,探探,150-500人,D轮及以上,朝阳区,后端开发工程师,3-5年,本科,25k-50k,"免费三餐,免费零食,免费饮料,带薪休假"
北京心悦互娱科技有限公司,BitBays,150-500人,不需要融资,海淀区,服务端开发工程师,3-5年,本科,15k-30k,"五险一金,不打卡,年终多薪"
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,后端开发工程师（Python）,1年以下,本科,15k-20k,免费午餐 发展空间大 团队氛围好
北京朗迪锋科技有限公司,朗迪锋,50-150人,未融资,丰台区,三维软件开发工程师,不限,本科,25k-35k,晋升空间
北京拉勾网络技术有限公司,拉勾网,500-2000人,D轮及以上,海淀区,安全开发工程师,3-5年,本科,15k-30k,"挑战,机会,自由,技术氛围浓"
北京深醒科技有限公司,深醒科技,150-500人,B轮,东城区,高级软件开发工程师（视频分析方向）,5-10年,硕士,20k-40k,年终奖金 五险一金 定期体检 带薪年假
广州实地房地产开发有限公司,实地集团,2000人以上,不需要融资,朝阳区,云平台开发工程师,5-10年,本科,25k-50k,"6险1金,周末双休"
北京趣拿软件科技有限公司,去哪儿网,2000人以上,不需要融资,海淀区,算法开发工程师-火车票事业部(J13763),1-3年,本科,20k-35k,"平台大,扁平化管理,年度旅游,团队氛围好"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,系统工程师（实习）-SD-WAN 开发,不限,本科,2k-4k,弹性工作，免费三餐，租房补贴，休闲下午茶
车好多旧机动车经纪（北京）有限公司,车好多集团,2000人以上,D轮及以上,朝阳区,云平台开发工程师,3-5年,本科,25k-50k,领导好　股票期权　奖金多　靠谱CEO
北京微光果壳科技有限公司,微壳,150-500人,不需要融资,朝阳区,后端研发工程师,1-3年,本科,20k-30k,发展前景好、期权
北京小年糕互联网技术有限公司,小年糕,150-500人,C轮,海淀区,后端开发工程师,3-5年,本科,18k-36k,"指数增长,学习成长,价值实现,专家同事"
北京木瓜移动科技股份有限公司,木瓜移动,150-500人,B轮,海淀区,后端开发工程师,3-5年,本科,25k-35k,"大平台,国际化,氛围好,五险一金"
北京豪腾嘉科科技有限公司,疯狂游戏,150-500人,不需要融资,海淀区,后端开发,3-5年,本科,20k-40k,项目奖金、丰厚年终、出国团建、公司氛围好
北京君林科技股份有限公司,君林科技,50-150人,天使轮,朝阳区,音频技术工程师,3-5年,本科,20k-30k,"带薪年假,弹性工作,周末双休,发展空间大"
深圳小库科技有限公司,小库科技,50-150人,A轮,海淀区,后端开发,3-5年,本科,20k-40k,海归精英多 双休不打卡 带薪年假多
清枫（北京）科技有限公司,Max+&小黑盒,50-150人,A轮,朝阳区,后台开发工程师,不限,本科,15k-25k,北大博士创业团队，发展迅速，丰厚期权
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,后端研发工程师,5-10年,本科,25k-35k,"六险一金,节日福利,带薪休假,餐补"
北京芯盾时代科技有限公司,Trusfort芯盾时代,150-500人,C轮,海淀区,大数据开发工程师,3-5年,本科,15k-30k,"五险一金,工作居住证,节日福利,出国旅游"
北京小年糕互联网技术有限公司,小年糕,150-500人,C轮,海淀区,后端开发工程师（php/go）,3-5年,本科,20k-40k,"指数增长,学习成长,价值实现,专家同事"
北京木瓜移动科技股份有限公司,木瓜移动,150-500人,B轮,海淀区,后端开发工程师,1-3年,本科,15k-30k,团队氛围好，公司发展快，福利待遇好
标贝（北京）科技有限公司,标贝科技,50-150人,A轮,海淀区,语音研发工程师（实习）,1年以下,本科,2k-4k,年底双薪 弹性工作 七险一金 绩效奖金
爱笔（北京）智能科技有限公司,Aibee,150-500人,A轮,海淀区,算法开发工程师-计算平台,1-3年,本科,15k-30k,人工智能 创业氛围
北京百炼智能科技有限公司,百炼智能,15-50人,天使轮,朝阳区,后端工程师,3-5年,本科,15k-30k,"牛人多,平台发展快,工作氛围好,福利优厚"
北京世相科技文化有限公司,新世相,150-500人,B轮,朝阳区,数据开发工程师,1-3年,本科,12k-20k,成长空间、成就感、不错的收入
北京太古代科技有限公司,太古代科技,50-150人,B轮,海淀区,数据开发工程师,1-3年,本科,23k-46k,福利待遇优厚！
北京市商汤科技开发有限公司,商汤科技,2000人以上,C轮,海淀区,软件开发工程师,3-5年,本科,20k-40k,"AI独角兽,公司前景好"
银客未来科技（北京）有限公司,INK 银客集团,500-2000人,C轮,海淀区,大数据开发工程师,5-10年,不限,25k-35k,"大牛带领,成长空间,薪资诱惑,福利完善"
深圳市金证优智科技有限公司,金证优智,15-50人,A轮,海淀区,数据开发工程师,5-10年,本科,15k-30k,"技术大牛,团队氛围好,高成长"
北京凌云雀科技有限公司,灵雀云,150-500人,B轮,海淀区,后端开发工程师（Go）,3-5年,本科,15k-30k,"技术领先,团队顶级,项目靠谱,资金充足"
上海任意门科技有限公司,Soul App,150-500人,C轮,海淀区,大数据开发工程师,5-10年,本科,25k-50k,"高薪,五险一金"
北京点石经纬科技有限公司,OKAY智慧教育,500-2000人,B轮,海淀区,大数据开发工程师,3-5年,本科,15k-25k,"机会多多,平台好,发展好,K12"
北京梧桐车联科技有限责任公司,梧桐车联,150-500人,不需要融资,海淀区,大数据开发工程师,3-5年,本科,20k-40k,地铁周边、带薪年假、扁平管理、不打卡
深圳瑞银信信息技术有限公司,瑞银信,2000人以上,不需要融资,朝阳区,数据开发工程师,3-5年,本科,15k-25k,五险一金，餐补，交通便利，环境高大上
北京小年糕互联网技术有限公司,小年糕,150-500人,C轮,海淀区,后端开发工程师,3-5年,本科,20k-40k,"指数增长,学习成长,价值实现,专家同事"
北京木瓜移动科技股份有限公司,木瓜移动,150-500人,B轮,海淀区,大数据开发工程师,3-5年,本科,15k-30k,"大平台,国际化,氛围好,五险一金"
北京右划网络科技有限公司,V8实拍,150-500人,B轮,朝阳区,多媒体开发工程师,5-10年,本科,27k-40k,五险一金、风口赛道、无天花板、与大咖共事
北京涛思数据科技有限公司,北京涛思数据科技有限公司,15-50人,A轮,朝阳区,高级软件研发工程师,不限,本科,20k-40k,"大牛团队,高薪好福利,弹性工作,丰厚期权"
高德软件有限公司,阿里巴巴-高德,2000人以上,上市公司,朝阳区,测试开发工程师,3-5年,本科,20k-40k,福利待遇、发展前景
北京达佳互联信息技术有限公司,快手,2000人以上,D轮及以上,海淀区,工具研发工程师,不限,大专,20k-40k,提供午餐晚餐、下午茶，住房补贴等。
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,海淀区,云存储资深研发工程师,5-10年,本科,35k-45k,平台大，薪资高
北京奇智睿思信息咨询有限公司,奇智睿思,2000人以上,上市公司,朝阳区,后端/Golang工程师（CRM&amp;电商）,3-5年,本科,18k-30k,"国际化团队,国际化客户,气氛活跃,加班少"
北京微聚未来科技有限公司,微聚未来,500-2000人,不需要融资,海淀区,大数据研发工程师,3-5年,本科,20k-40k,"牛人团队,带薪年假,16薪考核,快速成长"
武汉小象创意科技有限公司,芒果电单车,50-150人,A轮,朝阳区,后端开发工程师,3-5年,本科,20k-40k,下午茶 六险一金 节日礼物
达疆网络科技（上海）有限公司,达达-京东到家,2000人以上,D轮及以上,大兴区,算法工程师,3-5年,本科,25k-50k,"新零售,扁平化管理,免费班车"
车好多旧机动车经纪（北京）有限公司,车好多集团,2000人以上,D轮及以上,朝阳区,后端开发工程师,不限,本科,25k-50k,领导好　股票期权　奖金多　靠谱CEO
北京百乘金科科技有限公司,百乘金科集团,2000人以上,上市公司,朝阳区,模型开发工程师,3-5年,本科,20k-30k,"地铁周边,节日福利,年终奖金,晋升空间"
中信百信银行股份有限公司,百信银行,150-500人,不需要融资,朝阳区,PaaS开发工程师（消息队列方向）,3-5年,本科,30k-60k,福利待遇 发展前景
北京一人一亩田网络科技有限公司,一亩田,150-500人,C轮,海淀区,后端研发工程师（GO）,3-5年,不限,30k-40k,五险一金 弹性工作 期权激励
北京小年糕互联网技术有限公司,小年糕,150-500人,C轮,海淀区,大数据研发工程师,3-5年,本科,13k-26k,"大牛导师,学习成长,一日三餐,用户增长"
北京百乘金科科技有限公司,百乘金科集团,2000人以上,上市公司,朝阳区,模型开发工程师,3-5年,不限,20k-35k,"地铁周边,节日福利,年终奖金,晋升空间"
中信百信银行股份有限公司,百信银行,150-500人,不需要融资,朝阳区,PaaS开发工程师（微服务方向）,3-5年,不限,30k-60k,福利待遇 发展前景
北京佰策科技有限公司,佰策科技,150-500人,A轮,朝阳区,大数据研发工程师,3-5年,本科,15k-30k,交通便利 福利多多 牛人带队 扁平管理
中科天玑数据科技股份有限公司,中科天玑,150-500人,B轮,海淀区,大数据开发工程师,3-5年,本科,16k-30k,员工宿舍 年底双薪 成长空间
北京每日优鲜电子商务有限公司,每日优鲜,500-2000人,C轮,朝阳区,后端开发工程师,3-5年,本科,20k-40k,社交电商领域独角兽，产研负责人为大厂背景
北京印象笔记科技有限公司,印象笔记,50-150人,A轮,朝阳区,高级软件开发工程师,5-10年,本科,30k-45k,"研发中心, 核心产品, 知识内容, 效率"
北京好赞移动科技有限公司,nice,150-500人,C轮,朝阳区,后端研发工程师,3-5年,本科,16k-32k,扁平化管理，技术大佬指导，办公环境良好
北京格灵深瞳信息技术有限公司,格灵深瞳,150-500人,C轮,海淀区,后端开发工程师,3-5年,本科,15k-30k,人工智能 五险一金 补充医疗 饭补
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,后端开发工程师,应届毕业生,本科,15k-30k,六险一金，弹性工作，免费三餐，租房补贴
高德软件有限公司,阿里巴巴-高德,2000人以上,上市公司,朝阳区,测试开发工程师-服务端,3-5年,本科,20k-40k,福利待遇、发展前景
神策网络科技（北京）有限公司,神策数据,150-500人,C轮,海淀区,后端研发工程师-分布式数据应用方向,不限,本科,20k-40k,技术大牛 年底多薪 扁平化管理
北京粉笔未来科技有限公司,猿辅导,2000人以上,D轮及以上,朝阳区,数据开发工程师,1-3年,硕士,25k-50k,五一9天假、双休、旅游津贴、nice领导
北京势在必行网络科技有限公司,币信,50-150人,不需要融资,海淀区,后端开发工程师,1-3年,本科,10k-20k,五险一金 年度体检 午晚餐 零食茶饮
北京香侬慧语科技有限责任公司,香侬科技,50-150人,A轮,海淀区,后端开发工程师,1-3年,本科,15k-30k,大牛带队、亿级融资、地铁周边、免费双餐
